timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-1-.1;41: wc-1-.2;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
1480;27.581;4.359;-15.758;-22.213;-13.393;-19.761;-8.705;-8.604;-1.653;-54.865;35.389;-66.476;-2.336;-29.647;5.653
1490;18.451;11.788;-6.527;-30.78;-21.107;-20.733;-9.779;-8.415;-1.808;-56.406;37.11;-63.7;-0.813;-31.726;7.96
1500;8.67;19.227;2.729;-37.59;-30.874;-24.393;-10.85;-8.628;-1.839;-59.049;40.222;-60.126;0.196;-33.367;10.347
1510;-3.214;27.732;4.081;-46.922;-40.653;-30.22;-11.174;-9.676;-1.371;-62.261;42.696;-59.651;0.742;-31.598;11.497
1520;-15.079;36.249;5.456;-53.222;-48.928;-39.458;-10.989;-11.007;-0.914;-63.215;43.873;-60.262;1.039;-28.254;11.625
1530;-26.413;43.889;3.84;-56.868;-57.173;-45.714;-10.96;-11.988;-0.613;-61.982;44.591;-62.409;1.145;-19.831;11.539
1540;-38.098;51.544;2.247;-60.508;-65.427;-53.904;-11.459;-12.603;-0.784;-61.199;45.871;-63.374;0.248;-12.078;11.456
1550;-49.944;54.23;0.834;-62.933;-69.597;-59.683;-11.956;-12.861;0.653;-58.856;48.591;-62.514;-0.857;-6.969;12.686
1560;-60.02;56.93;-0.552;-66.191;-70.694;-65.82;-12.128;-13.143;2.102;-54.168;52.488;-58.777;-1.793;-2.8;17.342
1570;-70.175;41.366;-0.686;-69.771;-71.797;-70.56;-12.297;-13.422;5.275;-47.657;55.692;-55.73;-2.277;1.164;20.49
1580;-78.199;25.258;-0.792;-72.272;-72.642;-74.434;-11.892;-13.975;6.847;-40.836;57.688;-53.241;-2.103;6.143;18.936
1590;-86.148;23.974;-0.907;-73.494;-73.493;-78.544;-11.163;-14.46;8.395;-33.515;58.613;-51.169;-1.824;10.786;18.166
1600;-91.366;22.077;-0.996;-73.15;-74.239;-88.418;-10.549;-15.141;8.766;-27.677;59.741;-46.455;-1.095;12.952;20.766
1610;-98.716;21.481;-2.324;-77.833;-76.361;-100.727;-11.15;-16.811;6.899;-28.472;55.836;-42.236;-0.28;13.59;21.783
1620;-105.832;20.83;-5.652;-83.189;-78.484;-106.436;-11.912;-18.604;5.087;-31.232;51.79;-37.927;1.079;12.113;22.846
1630;-110.428;19.371;-8.221;-86.931;-80.607;-110.934;-12.125;-19.319;4.226;-33.338;48.27;-33.754;2.417;11.761;22.171
1640;-113.534;18.25;-15.022;-90.372;-83.719;-110.339;-12.339;-19.308;3.814;-34.923;44.549;-33.302;2.914;12.321;20.051
1650;-116.68;21.337;-21.823;-93.4;-86.83;-107.705;-12.847;-19.128;3.44;-32.577;45.229;-32.607;1.415;15.134;19.143
1660;-119.537;24.692;-21.342;-95.152;-86.371;-102.326;-13.354;-19.354;3.592;-26.937;43.203;-31.571;1.641;17.429;19.246
1670;-121.713;31.33;-20.861;-97.89;-83.772;-102.92;-12.746;-14.403;3.534;-20.102;40.583;-28.392;0.229;19.08;20.109
1680;-123.772;38.077;-22.403;-100.269;-81.174;-107.702;-12.33;-12.56;2.817;-12.75;38.709;-22.666;-2.223;20.508;19.568
1690;-122.552;45.081;-23.945;-104.186;-78.36;-111.793;-10.767;-10.669;1.364;-7.81;37.691;-18.757;-4.025;21.996;16.571
1700;-121.331;51.261;-25.175;-107.032;-71.71;-115.863;-10.014;-10.491;-0.012;-4.229;37.474;-14.708;-5.764;24.148;15.09
1710;-119.69;55.623;-26.406;-110.743;-65.061;-116.132;-9.261;-11.359;-0.793;0.629;38.094;-12.89;-6.183;26.291;16.679
1720;-113.968;59.606;-25.003;-112.847;-55.039;-115.485;-8.422;-12.123;-0.883;8.182;39.212;-13.08;-6.378;29.942;19.681
1730;-107.792;61.749;-23.6;-115.726;-44.906;-113.461;-7.583;-13.114;-0.932;17.561;40.094;-14.883;-7.506;35.323;20
1740;-98.775;63.113;-32.04;-120.309;-34.774;-111.378;-6.832;-13.948;-1.161;26.818;39.601;-15.632;-8.552;40.292;20
1750;-90.103;64.737;-40.48;-124.789;-24.465;-105.734;-5.983;-14.857;-1.19;36.964;37.428;-15.03;-9.641;44.992;19.092
1760;-80.912;65.192;-40.716;-125.541;-13.97;-97.181;-5.378;-14.636;-1.834;45.125;36.021;-13.37;-10.143;48.403;19.119
1770;-71.044;66.939;-40.952;-125.461;-3.84;-85.668;-4.514;-14.476;-2.41;49.681;35.546;-10.756;-10.735;50.513;20.634
1780;-62.737;68.981;-39.153;-125.459;2.779;-72.861;-3.651;-14.226;-3.099;51.386;34.65;-8.757;-10.654;50.806;19.903
1790;-54.469;68.821;-37.354;-123.666;9.399;-60.255;-2.677;-14.211;-3.301;52.43;32.446;-6.724;-9.308;52.123;20.361
1800;-45.539;70.24;-34.829;-117.832;16.101;-47.628;-1.703;-14.131;-4.597;53.102;29.268;-6.201;-7.888;54.72;22.019
1810;-39.21;69.949;-32.303;-107.023;17.748;-34.869;-0.72;-14.058;-5.852;53.713;26.767;-6.015;-6.593;55.814;22.792
1820;-33.466;71.099;-31.679;-95.939;19.395;-22.055;-0.297;-13.859;-8.763;53.716;25.123;-4.366;-5.701;56.783;24.505
1830;-29.243;71.261;-31.054;-89.451;20.597;-6.908;0.317;-13.746;-10.132;53.774;23.821;-3.436;-5.403;56.763;26.156
1840;-25.074;71.697;-32.812;-82.343;21.446;9.942;0.04;-13.578;-11.324;54.756;22.977;-2.59;-4.319;58.855;25.737
1850;-22.386;71.796;-34.571;-74.888;22.294;28.65;-0.237;-13.197;-11.25;57.288;22.408;-3.468;-1.887;62.297;22.924
1860;-19.629;72.17;-38.479;-67.468;23.585;45.051;-1.614;-12.327;-11.382;59.535;20.924;-4.32;1.263;66.043;19.83
1870;-16.906;73.814;-42.386;-61.567;24.817;57.404;-2.99;-11.581;-11.708;63.312;19.622;-4.157;3.721;69.617;17.632
1880;-15.903;74.799;-46.232;-54.321;26.048;69.408;-3.222;-11.286;-11.943;67.713;18.708;-2.154;3.303;70.738;16.301
1890;-14.901;76.481;-50.077;-46.821;26.637;78.116;-3.454;-11.723;-11.859;73.31;18.582;-0.072;3.699;71.789;17.276
1900;-14.098;75.232;-52.206;-39.157;26.937;84.561;-3.673;-12.153;-11.881;78.048;17.439;1.236;6.189;72.492;18.737
1910;-13.502;74.145;-54.774;-30.574;27.236;90.77;-3.719;-12.276;-12.571;79.666;15.568;2.237;8.319;74.223;18.014
1920;-11.066;67.662;-56.982;-20.514;25.063;95.938;-3.764;-17.628;-13.323;79.673;13.446;2.192;10.31;75.452;15.415
1930;-9.086;61.459;-58.654;-10.048;22.739;101.419;-3.546;-19.83;-13.6;80.443;11.763;1.589;12.887;74.935;12.306
1940;-8.665;53.668;-60.326;2.68;20.305;105.148;-3.328;-21.874;-13.465;82.983;10.568;2.183;14.423;74.121;11.818
1950;-8.299;47.469;-62.326;14.69;14.171;107.156;-3.516;-22.108;-13.419;86.075;9.655;3.043;16.015;73.873;11.404
1960;-8.12;43.639;-64.326;26.465;8.037;108.125;-3.703;-21.717;-13.971;88.337;7.941;5.037;16.761;74.204;10.858
1970;-10.581;39.89;-66.27;34.015;0.313;107.218;-3.908;-21.583;-14.872;89.488;6.85;7.138;17.822;75.247;9.782
1980;-13.317;38.503;-68.215;38.91;-7.341;106.897;-3.226;-21.094;-15.222;89.062;4.885;8.8;19.581;75.593;9.483
1990;-17.574;35.081;-67.658;45.014;-14.994;108.531;-2.349;-20.668;-15.572;86.501;3.81;10.163;21.298;75.399;8.8
2000;-21.803;31.31;-67.101;51.207;-19.943;108.263;-0.892;-20.444;-15.982;81.48;3.437;11.03;22.895;75.226;8.819
2010;-25.872;25.272;-66.674;58.368;-25.389;106.312;0.564;-20.399;-16.106;77.606;3.37;14.247;23.934;74.486;7.694
2020;-29.554;17.879;-66.248;63.116;-30.834;102.426;1.706;-20.375;-16.212;75.801;3.737;19.232;25.149;74.622;6.246
2030;-32.757;9.328;-66.295;67.257;-32.692;98.687;2.848;-18.992;-16.252;76.357;4.305;24.666;25.677;75.274;8.298
2040;-35.96;3.193;-66.342;70.436;-34.498;97.16;3.743;-16.83;-15.972;78.727;4.345;30.579;26.345;74.596;9.633
2050;-39.252;-2.105;-66.058;71.905;-36.303;98.713;4.119;-15.01;-16.046;81.487;4.012;36.745;27.439;73.821;7.855
2060;-39.345;-5.403;-65.774;70.106;-37.072;98.252;4.509;-13.17;-16.036;82.788;2.844;41.072;28.519;75.626;4.454
2070;-39.423;-8.008;-62.341;68.521;-37.585;91.632;5.137;-11.343;-16.363;84.483;2.626;43.225;29.986;76.499;0.502
2080;-35.302;-9.839;-58.908;69.364;-37.884;82.84;5.764;-9.116;-16.295;85.56;3.923;43.254;30.989;78.686;-3.16
2090;-30.87;-11.582;-53.023;70.629;-37.706;70.281;6.905;-8.407;-16.299;85.79;5.128;42.036;30.617;78.807;-5.712
2100;-23.159;-13.21;-47.139;70.99;-37.528;57.992;8.046;-7.629;-16.338;85.448;5.408;40.686;30.217;78.775;-6.974
2110;-15.24;-13.858;-40.188;71.921;-37.102;49.074;9.575;-7.474;-16.505;86.48;6.039;39.283;29.486;78.24;-5.963
2120;-7.321;-15.701;-33.236;72.499;-36.199;45.994;10.745;-7.211;-16.502;86.917;6.292;36.8;30.661;76.095;-4.364
2130;-2.363;-16.315;-26.764;71.095;-35.295;45.189;10.419;-6.93;-16.396;87.341;5.93;34.985;31.953;73.615;-3.167
2140;2.499;-17.557;-20.292;69.753;-34.228;44.33;10.217;-6.637;-16.21;87.058;5.018;36.044;34.632;71.254;-3.458
2150;8.721;-18.492;-13.379;64.756;-32.858;42.417;9.974;-6.291;-15.912;86.926;4.099;38.83;37.257;68.012;-6.943
2160;14.516;-19.583;-6.466;58.819;-31.488;38.705;10.066;-5.625;-15.553;88.717;3.868;40.799;37.532;65.811;-10.335
2170;19.07;-16.713;1.61;53.258;-30.4;36.01;10.159;-4.719;-15.188;90.332;4.439;43.004;37.712;66.45;-11.466
2180;23.48;-11.116;9.686;48.077;-28.854;33.841;10.607;-3.806;-15.123;89.97;4.931;46.062;36.857;68.848;-10.934
2190;26.93;-8.112;17.646;41.75;-27.308;33.514;11.055;-3.452;-14.858;86.639;3.491;47.937;36.47;67.524;-11.137
2200;30.214;-3.193;26.901;35.182;-26.703;36.051;12.581;-2.778;-14.275;83.152;0.777;49.684;35.804;64.77;-11.367
2210;33.56;1.146;35.676;28.331;-25.713;40.637;14.281;-2.055;-13.43;84.388;-1.007;50.014;35.652;62.116;-12.974
2220;35.746;5.959;45.764;24.761;-24.723;47.808;16.33;-0.486;-12.599;86.094;-2.484;50.916;34.179;61.185;-15.15
2230;37.781;11.019;55.852;25.836;-23.658;53.788;18.691;0.35;-12.273;87.452;-2.51;51.615;32.451;60.35;-16.252
2240;40.375;16.404;64.115;27.25;-22.448;53.786;21.052;1.131;-11.968;87.84;-1.451;53.754;30.647;60.524;-17.127
2250;42.604;21.582;72.377;29.737;-21.225;54.076;22.999;1.731;-11.65;88.279;-0.046;57.465;29.952;58.793;-18.553
2260;45.913;27.054;79.723;30.001;-20.229;54.168;24.945;2.503;-10.506;90.087;1.028;59.337;29.575;57.476;-18.566
2270;49.229;32.884;87.069;31.171;-19.233;59.731;25.316;3.269;-8.514;91.451;2.019;58.545;29.175;57.299;-19.314
2280;53.545;39.046;93.865;32.499;-18.382;69.759;25.448;3.102;-6.412;92.011;3.141;55.383;28.941;56.302;-19.657
2290;57.668;45.352;100.661;34.149;-16.833;80.503;25.261;2.108;-4.396;92.67;5.44;50.807;27.196;55.599;-19.07
2300;62.177;50.77;104.528;36.28;-15.284;87.505;25.441;1.086;-2.513;94.297;7.319;45.509;25.026;52.658;-16.545
2310;64.365;56.001;108.396;40.557;-12.908;96.48;25.622;-0.149;-0.534;97.705;8.592;42.098;22.732;49.208;-14.823
2320;66.623;59.97;108.826;45.756;-9.646;105.443;26.357;-1.862;0.777;100.95;7.648;40.017;20.828;45.863;-14.556
2330;63.761;63.69;109.257;51.379;-6.383;110.326;27.092;-3.472;1.779;103.593;4.88;39.708;20.006;41.808;-14.298
2340;60.492;66.948;112.328;53.319;-3.368;118.142;27.753;-3.323;3.277;105.937;2.171;40.652;19.989;35.759;-13.611
2350;55.423;70.268;115.4;55.285;-1.265;128.703;27.854;-2.629;4.768;108.371;1.497;42.317;20.055;27.543;-12.352
2360;49.679;73.061;117.777;55.679;0.839;133.066;27.469;-2.17;6.694;108.894;2.657;43.601;20.221;20.233;-12.559
2370;43.574;76.081;120.153;55.796;3.968;133.11;26.829;-1.63;8.335;109.628;4.223;45.033;19.702;14.663;-14.49
2380;40.309;77.814;121.32;54.048;7.105;125.996;26.189;-1.39;10.217;110.651;6.119;46.032;17.983;11.614;-15.746
2390;37.03;79.732;122.487;51.448;10.241;117.766;25.906;-1.102;11.801;112.215;8.343;45.815;14.589;9.585;-17.163
2400;31.712;80.69;121.359;49.07;12.01;112.772;25.623;-0.499;13.741;113.906;10.988;45.725;9.48;7.495;-16.283
2410;26.821;81.716;120.23;46.076;14.309;109.608;24.028;0.134;15.708;116.012;11.737;44.946;5.571;4.49;-14.679
2420;21.69;82.266;117.919;42.93;16.988;110.418;22.432;0.651;17.985;119.152;11.548;44.343;1.766;-1.883;-12.916
2430;16.966;79.596;115.607;40.491;15.619;107.069;20.549;0.927;20.039;122.698;12.044;41.426;0.328;-9.262;-11.945
2440;14.241;76.684;113.946;39.183;14.251;100.039;19.338;1.865;22.212;126.683;13.927;41.861;-0.64;-15.022;-12.451
2450;11.097;69.699;112.286;38.41;13.571;91.306;18.127;2.72;24.039;129.524;15.735;42.812;-1.542;-19.857;-12.803
2460;7.952;61.348;109.828;38.063;11.223;79.452;16.554;4.236;25.899;128.724;16.796;44.851;-2.43;-25.33;-12.342
2470;6.367;52.6;107.37;37.12;8.876;68.633;14.982;5.326;27.834;127.445;17.269;45.502;-2.844;-29.585;-10.83
2480;4.989;42.724;103.123;35.483;6.025;57.876;12.585;6.69;29.884;125.899;17.852;44.497;-2.834;-29.721;-7.65
2490;2.731;34.994;98.306;33.956;5.96;51.716;10.188;8.011;31.941;124.392;18.612;42.021;-2.956;-30.012;-5.168
2500;0.294;28.741;91.85;31.801;5.895;47.509;7.607;9.852;33.594;122.524;19.044;36.408;-4.134;-28.295;-4.846
2510;-3.983;24.288;85.102;29.914;4.63;45.131;4.185;11.575;35.59;119.872;18.512;31.899;-6.128;-30.324;-7.127
2520;-8.412;22.319;78.354;29.171;4.652;39.337;2.003;14.553;36.96;118.753;17.659;29.646;-7.796;-37.036;-9.159
2530;-12.841;20.775;71.732;26.012;4.674;30.208;-0.16;16.314;38.24;117.283;17.422;29.83;-9.45;-43.117;-10.528
2540;-16.898;18.768;65.11;20.633;4.124;18.93;-2.323;17.772;39.277;114.826;18.444;30.945;-9.204;-47.708;-13.367
2550;-20.941;16.847;59.812;14.866;4.257;7.548;-3.869;18.174;41.36;110.774;21.23;31.57;-8.479;-49.516;-16.189
2560;-22.943;11.995;54.515;8.906;4.389;-3.277;-5.415;18.417;43.214;104.999;23.908;29.29;-7.899;-52.029;-17.381
2570;-24.381;8.113;49.719;4.521;6.348;-8.086;-8.341;19.028;45.848;98.383;26.615;26.087;-7.633;-55.054;-17.046
2580;-21.938;1.108;44.923;2.463;8.306;-7.72;-12.226;20.434;47.982;93.217;28.068;23.115;-7.483;-56.15;-17.006
2590;-19.537;-5.737;38.479;2.149;10.32;-7.884;-16.441;21.954;48.935;90.55;28.406;20.687;-7.105;-55.083;-16.308
2600;-18.055;-11.007;32.034;1.163;8.236;-11.166;-19.168;22.883;50.006;88.119;28.366;19.019;-6.672;-52.321;-15.749
2610;-16.843;-16.55;25.058;-0.005;6.152;-10.69;-21.895;23.472;49.734;85.865;28.117;17.553;-6.243;-48.879;-14.226
2620;-16.87;-20.541;18.081;-1.665;1.623;-9.232;-23.345;24.174;49.254;82.248;27.577;15.699;-7.168;-45.299;-11.417
2630;-17.167;-24.017;11.963;-3.062;-4.804;-5.214;-24.794;25.033;48.906;78.777;27.112;12.621;-7.021;-44.124;-9.211
2640;-17.415;-28.219;5.844;-4.127;-11.232;-0.261;-27.614;26.301;48.579;74.269;27.154;10.132;-6.949;-43.928;-6.723
2650;-16.503;-31.286;0.873;-4.619;-17.903;-0.596;-30.433;27.383;47.948;69.785;26.327;7.683;-5.732;-45.108;-4.546
2660;-15.578;-36.948;-4.098;-3.982;-25.586;-1.966;-32.388;28.596;46.603;65.154;27.579;9.054;-4.788;-43.145;-2.099
2670;-14.492;-43.723;-8.381;-4.654;-33.269;-5.388;-34.116;29.843;45.286;59.298;29.655;12.852;-3.815;-37.145;-0.185
2680;-13.483;-50.942;-12.663;-6.502;-38.534;-3.99;-35.964;30.988;43.826;53.594;30.414;19.688;-4.44;-30.353;2.139
2690;-14.753;-58.21;-16.588;-8.909;-43.854;1.052;-37.817;31.265;42.368;47.462;30.48;22.979;-4.201;-22.052;5.37
2700;-16.037;-63.673;-20.512;-11.212;-49.174;4.052;-39.669;31.563;40.843;41.898;29.214;23.738;-2.899;-17.207;7.171
2710;-17.841;-68.128;-21.379;-12.047;-54.156;7.655;-39.937;30.785;39.297;35.937;28.724;27.633;-1.37;-14.09;6.492
2720;-19.846;-71.058;-22.247;-10.681;-59.152;5.552;-40.204;29.833;37.27;30.812;28.709;32.648;0.31;-12.884;4.924
2730;-21.919;-72.749;-22.244;-9.403;-63.81;3.301;-40.055;28.874;34.952;25.829;28.339;40.593;1.298;-15.639;2.177
2740;-21.832;-73.943;-22.241;-8.477;-70.869;3.512;-40.647;28.462;32.801;21.926;26.923;46.39;2.092;-16.774;0.731
2750;-21.862;-75.979;-20.303;-7.804;-77.928;1.313;-41.392;27.37;30.71;19.564;25.668;48.59;2.953;-17.145;2.887
2760;-18.892;-78.687;-18.366;-6.833;-85.029;-3.683;-41.668;26.277;27.566;18.197;25.954;49.487;5.375;-15.994;8.185
2770;-15.785;-82.794;-16.326;-5.917;-91.603;-11.782;-41.943;24.785;24.294;16.89;27.283;47.137;8.197;-12.332;12.501
2780;-12.877;-85.734;-13.346;-6.2;-98.177;-21.241;-41.738;23.668;21.05;14.166;29.039;46.328;10.868;-9.528;13.283
2790;-9.866;-88.01;-10.367;-6.538;-105.625;-29.254;-41.532;22.626;17.639;12.768;29.909;47.137;11.812;-8.923;12.989
2800;-7.166;-87.924;-9.337;-7.925;-111.546;-32.036;-41.785;22.057;13.326;11.075;29.432;48.662;11.294;-8.423;11.742
2810;-5.905;-85.618;-8.306;-7.77;-117.468;-35.586;-42.55;21.272;9.321;8.636;29.337;51.793;10.766;-6.687;10.909
