timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.2;20: frq1-.3;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
7060;-211.186;-230.832;-196.538;-124.342;-87.326;;-141.698;-128.262;-146.92;-129.266;-118.599;-164.423;29.259;-57.836;-85
7070;-212.741;-235.433;-200.811;-127.368;-88.71;;-142.775;-127.088;-145.818;-124.801;-110.668;-158.735;28.015;-54.851;-80.174
7080;-214.254;-238.545;-205.443;-130.346;-88.895;;-143.163;-126.502;-144.919;-118.826;-102.826;-154.252;27.761;-51.914;-75.219
7090;-216.15;-241.657;-209.434;-132.847;-88.37;;-143.305;-125.457;-143.527;-112.974;-94.966;-147.233;27.508;-50.188;-69.724
7100;-217.681;-244.055;-213.103;-135.003;-87.884;;-142.781;-123.578;-142.331;-107.039;-86.641;-140.081;27.244;-47.297;-64.648
7110;-219.668;-246.436;-216.276;-135.993;-86.87;;-141.526;-121.148;-141.263;-101.248;-77.876;-129.601;27.175;-46.117;-59.417
7120;-221.334;-248.817;-218.648;-136.848;-85.852;;-139.408;-118.763;-140.276;-94.374;-69.301;-118.691;27.106;-44.557;-54.72
7130;-222.633;-250.561;-221.014;-136.628;-84.604;;-136.941;-115.999;-138.492;-88.526;-60.588;-105.262;26.287;-42.957;-50.877
7140;-223.797;-251.498;-223.323;-135.761;-84.21;;-134.054;-113.535;-136.349;-81.291;-49.746;-91.527;25.468;-40.874;-46.526
7150;-223.575;-252.434;-225.032;-134.495;-83.494;;-131.326;-111.168;-134.345;-74.919;-38.484;-78.319;24.563;-38.737;-42.913
7160;-222.739;-253.748;-226.244;-132.527;-82.879;;-129.146;-108.626;-133.021;-67.454;-27.288;-64.862;23.658;-32.432;-38.287
7170;-221.461;-255.123;-226.926;-130.207;-81.535;;-127.022;-106.415;-132.698;-59.91;-15.803;-54.993;22.116;-25.927;-33.597
