timepoints (min);31: frq9-.1;32: frq9-.2;33: frq9-.3;34: frq10-.1;35: frq10-.2;36: frq10-.3;37: wc-1+.1;38: wc-1+.2;39: wc-1+.3;40: wc-2+.1;41: wc-2+.2;42: wc-2+.3;43: wc-1-.1;44: wc-1-.2;45: wc-1-.3
1260;-16.576;39.344;21.444;24.165;27.339;14.348;54.475;11.232;19.299;30.771;9.598;13.882;20.456;11.095;28.957
1270;-16.289;37.453;24.631;27.456;27.056;15.307;59.1;10.14;18.159;30.36;10.762;18.976;19.883;10.772;26.903
1280;-15.962;35.451;28.149;30.858;25.937;16.643;62.877;8.323;17.26;30.008;12.326;24.072;19.474;9.382;24.854
1290;-16.754;33.326;31.667;33.02;24.822;17.542;66.647;5.823;16.207;29.659;13.89;29.17;19.007;7.296;25.029
1300;-17.856;31.21;35.744;35.182;23.992;17.05;70.463;3.366;15.593;29.833;14.935;38.718;19.465;6.498;25.008
1310;-17.797;29.104;39.753;37.344;23.113;16.124;74.369;0.798;15.084;30.011;15.979;48.269;19.913;6.961;26.61
1320;-17.578;27.007;43.322;39.506;20.479;15.324;78.228;-2.285;14.653;30.192;17.142;57.825;19.845;7.429;28.069
1330;-17.379;23.759;46.892;40.367;18.209;14.619;81.649;-5.434;14.213;29.976;18.304;67.384;19.757;6.256;28.215
1340;-17.5;20.517;48.502;41.628;15.782;14.279;85.75;-8.34;14.331;29.764;19.504;71.686;19.913;5.087;27.943
1350;-17.655;17.282;50.873;42.887;15.162;14.417;90.403;-10.992;14.448;29.834;20.702;75.99;19.589;1.296;27.731
1360;-17.45;14.054;53.244;44.146;14.549;15.073;94.424;-13.102;14.523;29.908;21.338;80.294;20.39;-2.492;27.05
1370;-16.412;10.577;57.271;45.166;14.541;15.384;98.656;-15.801;14.653;30.006;21.929;83.521;21.323;-2.993;27.068
1380;-15.253;7.104;61.25;45.029;15.979;16.697;102.88;-18.256;13.821;29.867;22.52;86.743;22.34;-3.494;26.756
1390;-13.331;3.636;65.392;44.742;17.698;17.532;106.607;-20.684;12.994;29.73;23.109;89.961;23.8;-1.045;26.042
1400;-11.548;0.397;69.524;44.455;19.818;18.502;110.966;-21.908;12.685;28.396;22.778;93.176;24.465;1.397;22.371
1410;-9.401;-2.56;73.646;44.281;22.171;19.632;115.256;-22.954;12.366;27.065;22.446;101.188;24.77;4.12;17.907
1420;-7.367;-5.433;77.276;44.107;23.481;20.881;119.038;-23.91;11.704;26.455;21.615;109.196;25.074;6.975;15.426
1430;-3.568;-8.306;80.899;42.585;24.761;20.927;121.215;-24.982;11.04;25.848;20.788;117.29;25.052;7.059;12.666
1440;-1.01;-13.724;83.553;39.263;21.985;19.884;122.103;-28.011;9.982;23.095;19.396;117.783;23.686;5.374;9.025
1450;2.135;-18.222;85.767;35.901;18.382;18.001;119.832;-30.81;8.821;20.328;18.004;117.197;22.912;3.568;5.742
1460;5.04;-22.651;87.76;32.538;14.779;16.054;118.662;-32.203;8.379;17.561;15.852;116.611;21.938;1.604;0.648
1470;9.159;-27.08;88.433;29.327;9.743;14.106;117.458;-32.561;8.186;15.434;13.708;116.025;21.225;0.459;-3.218
1480;11.597;-31.75;87.825;26.996;7.766;13.239;117.07;-32.331;8.393;13.308;11.723;113.305;19.949;-0.686;-6.354
1490;13.732;-33.335;87.217;23.612;5.629;12.364;116.877;-31.961;8.938;12.8;9.738;110.716;18.502;-2.988;-9.273
