timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: cybdIm1+.1;05: cybdIm1+.2;06: cybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
1570;-231.032;-190.928;-145.717;-40.934;-121.952;-98.928;-27.804;-78.481;-12.786;-37.665;-19.91;-33.728;-281.33;-180.817;-201.417
1580;-230.524;-194.497;-150.8;-47.488;-127.927;-104.226;-28.698;-78.047;-12.519;-41.728;-19.946;-35.557;-278.206;-180.73;-200.337
1590;-230.065;-198.865;-155.535;-56.246;-133.619;-108.939;-29.112;-77.709;-12.026;-45.484;-18.425;-37.36;-275.069;-179.655;-200.546
1600;-229.964;-203.698;-159.913;-65.577;-141.25;-115.25;-30.815;-78.669;-11.534;-48.712;-16.786;-39.232;-271.59;-178.982;-200.532
1610;-229.757;-207.93;-163.611;-75.189;-150.263;-122.05;-32.07;-79.794;-12.087;-52.161;-16.108;-40.768;-267.786;-176.971;-198.941
1620;-229.076;-210.8;-167.672;-83.025;-156.981;-129.411;-34.212;-80.848;-14.615;-54.69;-16.167;-42.425;-263.655;-175.586;-195.503
1630;-228.763;-213.818;-171.796;-90.898;-164.841;-135.717;-35.619;-81.902;-17.323;-58.083;-17.761;-44.032;-258.479;-174.375;-186.988
1640;-226.441;-215.386;-174.521;-95.604;-170.857;-143.295;-37.604;-83.372;-24.003;-60.952;-19.356;-45.636;-251.777;-171.286;-184.778
1650;-225.048;-215.066;-176.132;-99.647;-175.512;-150.797;-38.887;-84.574;-30.683;-64.103;-20.246;-47.69;-244.257;-167.379;-182.826
1660;-223.35;-213.873;-177.317;-104.957;-178.018;-156.097;-39.788;-85.686;-36.986;-67.364;-21.135;-49.51;-236.87;-162.843;-177.637
1670;-222.818;-213.561;-177.68;-106.074;-178.458;-161.716;-41.368;-86.797;-40.932;-69.663;-23.892;-51.403;-228.399;-157.566;-172.448
1680;-221.75;-213.371;-176.444;-106.346;-177.832;-167.803;-43.377;-87.291;-44.92;-73.273;-26.891;-52.298;-219.359;-151.754;-167.094
1690;-220.52;-213.706;-175.215;-114.575;-178.948;-174.012;-44.863;-87.93;-48.727;-74.545;-29.09;-53.294;-209.294;-145.114;-159.946
1700;-217.677;-212.749;-173.371;-120.596;-181.433;-178.843;-47.193;-87.934;-52.534;-75.097;-31.081;-53.623;-197.229;-138.388;-152.113
1710;-215.796;-211.021;-172.092;-126.652;-184.819;-183.338;-49.439;-87.938;-56.142;-74.128;-31.894;-54.411;-183.31;-131.266;-143.571
1720;-213.927;-209.32;-168.964;-128.371;-187.945;-186.688;-52.268;-86.64;-58.011;-73.854;-32.452;-55.33;-168.153;-123.509;-134.837
1730;-211.492;-207.85;-166.094;-128.679;-189.657;-189.04;-55.989;-85.439;-59.825;-73.128;-33.211;-56.48;-152.057;-115.404;-126.615
1740;-208.113;-206.87;-164.294;-127.818;-188.543;-192.066;-59.519;-83.673;-61.462;-72.727;-33.97;-57.594;-133.41;-107.291;-118.786
1750;-202.52;-206.072;-161.633;-126.015;-187.935;-195.768;-62.617;-81.708;-63.099;-72.877;-33.327;-59.023;-112.406;-99.697;-109.906
1760;-194.666;-204.81;-158.615;-122.77;-189.192;-199.334;-65.554;-79.383;-64.8;-74.367;-32.324;-61.44;-89.754;-91.735;-100.811
1770;-187.503;-202.481;-154.505;-119.874;-187.512;-201.825;-68.119;-77.857;-66.128;-75.524;-31.121;-63.717;-65.814;-81.931;-92.848
1780;-181.673;-197.863;-150.308;-116.05;-188.041;-203.819;-70.386;-76.33;-67.319;-76.634;-30.479;-65.171;-41.098;-71.443;-83.83
1790;-177.855;-191.065;-143.234;-112.361;-184.639;-203.361;-72.219;-75.484;-69.59;-76.665;-29.836;-66.465;-15.097;-59.993;-75.015
1800;-172.797;-182.625;-136.272;-109.283;-183.446;-203.679;-73.237;-74.335;-71.938;-76.735;-29.585;-65.699;12.263;-48.542;-64
1810;-167.771;-173.742;-133.738;-105.156;-182.291;-203.192;-74.274;-74.15;-74.208;-76.321;-29.334;-65.228;39.913;-36.8;-52.552
1820;-164.27;-166.057;-131.063;-98.476;-179.448;-201.28;-75.019;-73.883;-75.87;-76.324;-29.131;-65.41;65.714;-24.764;-39.861
1830;-161.49;-158.749;-126.291;-90.946;-174.074;-198.364;-75.876;-74.677;-77.512;-75.686;-28.914;-66.492;91.768;-11.917;-25.114
1840;-158.592;-148.721;-121.538;-83.822;-167.818;-193.756;-77.364;-74.879;-80.806;-75.727;-29.938;-67.295;119.698;1.317;-9.458
1850;-154.204;-139.302;-116.706;-75.753;-160.639;-188.898;-78.17;-73.97;-83.086;-76.338;-30.975;-67.279;148.27;15.199;6.975
1860;-147.992;-129.063;-111.583;-68.948;-148.393;-183.368;-78.666;-72.895;-85.342;-78.932;-32.199;-67.389;176.428;30.772;21.406
1870;-140.09;-120.527;-104.777;-63.61;-138.881;-175.884;-78.886;-70.228;-87.481;-82.166;-33.422;-66.594;205.377;48.674;33.719
1880;-133.495;-112.466;-93.698;-58.303;-130.887;-170.312;-80.236;-67.56;-90.11;-84.543;-32.91;-65.894;234.622;68.452;42.294
1890;-127.239;-102.521;-87.854;-54.145;-124.305;-164.2;-81.312;-64.388;-92.479;-85.429;-32.399;-65.193;263.244;89.523;58.971
1900;-117.789;-93.004;-82.875;-51.676;-117.463;-158.212;-81.148;-61.181;-93.741;-86.017;-32.799;-63.741;291.563;110.832;78.839
1910;-107.989;-83.345;-78.221;-49.803;-108.4;-154.494;-80.855;-58.651;-94.858;-86.748;-33.143;-62.168;320.274;132.247;99.728
1920;-97.531;-74.284;-73.868;-48.51;-99.207;-148.954;-79.04;-56.121;-95.462;-88.399;-32.048;-59.447;348.8;153.539;119.397
1930;-88.781;-64.462;-70.71;-46.789;-91.254;-143.108;-78.385;-52.261;-95.887;-88.926;-30.712;-57.178;375.502;174.497;139.566
1940;-80.109;-52.39;-65.703;-44.575;-84.357;-137.497;-78.617;-48.179;-97.248;-87.673;-29.393;-55.407;399.608;195.469;159.386
1950;-73.394;-41.12;-59.789;-41.281;-77.316;-133.979;-79.683;-43.607;-98.408;-86.719;-28.026;-55.917;422.073;217.408;179.881
1960;-67.063;-32.532;-52.981;-34.99;-69.792;-129.655;-80.433;-39.034;-98.89;-88.143;-28.508;-56.139;443.905;239.083;200.019
1970;-60.632;-25.192;-49.503;-28.658;-61.483;-124.108;-80.567;-34.822;-99.36;-87.393;-28.989;-56.655;464.826;259.658;220.563
1980;-50.072;-18.051;-45.103;-23.054;-51.575;-117.799;-78.988;-30.782;-99.706;-86.604;-28.972;-56.463;484.047;279.713;242.934
1990;-38.27;-7.106;-40.912;-18.37;-42.148;-108.941;-77.326;-25.112;-97.946;-85.578;-28.956;-54.394;500.143;298.332;265.561
2000;-28.81;3.132;-37.837;-16.839;-33.788;-100.007;-76.222;-19.517;-96.212;-83.752;-30.148;-51.775;512.884;314.327;286.014
2010;-20.908;13.811;-33.364;-16.339;-26.255;-92.732;-75.458;-12.138;-95.28;-83.123;-31.188;-49.046;522.288;328.259;304.975
2020;-13.567;25.807;-28.001;-15.57;-24.393;-85.552;-73.814;-4.814;-94.963;-81.49;-32.432;-46.884;527.549;338.746;325.106
2030;-6.341;36.743;-24.394;-13.422;-20.561;-77.521;-72.549;1.401;-94.728;-79.432;-33.474;-44.909;529.069;349.215;344.498
2040;2.654;45.41;-24.793;-9.648;-16.463;-71.51;-71.116;7.654;-92.501;-79.531;-34.641;-42.564;528.363;357.094;364.15
2050;9.808;51.447;-24.712;-2.924;-10.556;-65.345;-69.986;12.263;-91.161;-79.39;-36.257;-42.916;526.025;363.549;381.979
2060;16.794;56.974;-20.79;4.61;-4.801;-60.047;-68.803;16.873;-89.817;-80.092;-37.906;-43.268;522.357;368.892;398.999
2070;24.101;63.578;-17.861;11.764;-0.531;-53.348;-67.05;22.701;-90.19;-79.298;-39.116;-38.822;518.248;371.665;413.254
2080;31.306;70.29;-13.91;16.684;2.826;-45.083;-63.898;30.634;-88.924;-79.832;-40.25;-36.109;512.564;371.05;423.608
2090;37.766;75.669;-10.188;20.31;6.654;-36.698;-59.448;38.458;-84.834;-80.621;-40.619;-32.283;501.916;366.67;432.764
2100;45.308;81.963;-6.101;24.508;10.283;-25.637;-55.599;46.746;-83.196;-81.299;-39.109;-30.761;486.728;360.688;439.876
2110;53.415;88.343;-0.237;32.435;14.182;-12.756;-51.988;54.421;-81.743;-78.423;-37.337;-29.24;466.721;351.175;445.503
2120;60.186;94.811;5.485;42.661;19.163;0.909;-48.457;60.015;-72.815;-73.146;-37.084;-27.589;442.443;338.903;449.913
2130;67.034;101.346;6.792;53.331;29.263;15.157;-43.535;65.61;-63.767;-67.269;-37.356;-26.233;413.103;323.248;452.119
2140;74.723;106.399;13.989;65.378;41.777;29.425;-38.524;70.874;-54.869;-62.726;-36.684;-23.942;381.789;303.989;449.708
2150;81.161;113.375;22.146;77.59;54.284;43.461;-34.921;77.164;-47.663;-57.709;-35.612;-20.829;348.806;282.949;442.033
2160;88.926;122.764;31.555;87.542;65.181;57.974;-31.026;83.734;-39.6;-53.883;-34.658;-19.389;314.851;259.972;429.246
2170;98.674;135.554;41.317;96.876;76.026;69.687;-27.476;90.463;-34.894;-48.621;-33.215;-19.174;282.088;235.491;415.077
2180;108.999;148.792;52.924;108.117;89.217;81.484;-22.214;95.065;-28.948;-43.352;-31.862;-18.415;250.368;211.29;397.83
2190;119.063;158.509;62.459;122.103;106.468;95.468;-16.952;100.254;-21.892;-40.371;-30.748;-15.284;218.074;187.345;376.774
2200;129.004;167.8;70.669;135.743;124.971;109.974;-9.723;104.568;-14.949;-38.207;-30.313;-10.028;184.527;162.805;351.295
2210;141.508;178.097;78.614;146.603;141.175;123.203;-1.137;109.746;-6.146;-33.65;-29.637;-5.75;150.561;137.913;323.054
2220;154.232;189.4;90.357;154.676;155.349;137.484;7.266;114.971;4.319;-31.392;-24.681;-1.372;116.641;113.328;293.593
2230;163.822;203.328;101.348;162.239;169.32;152.743;15.552;120.175;15.823;-27.161;-20.836;2.697;82.571;88.601;261.546
2240;172.461;213.883;112.303;168.767;186.05;165.807;25.441;124.142;27.906;-23.244;-17.052;5.828;48.257;64.448;229.157
2250;181.712;223.092;123.061;176.116;205.636;179.618;36.524;126.459;39.926;-20.597;-14.206;8.241;14.559;42.382;197.512
2260;191.892;232.04;133.119;184.172;225.123;196.868;46.04;125.463;51.183;-16.27;-11.338;11.098;-17.683;21.436;165.532
2270;203.549;239.157;141.514;193.619;245.701;215.821;54.938;124.516;60.686;-12.713;-6.684;15.008;-48.339;1.596;133.406
