timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -3;39: wc-2,+ -1;40: wc-2,+ -2;41: wc-2,+ -3;42: wc-1,- -1;43: wc-1,- -2;average;45: wc-2,- -1
1770;-52.949;-80.479;-35.108;-51.395;38.83;8.588;-143.276;-69.363;-43.257;-35.959;-36.599;37.046;8.785;8.785;3.949
1780;-56.172;-80.261;-40.742;-53.146;35.063;6.415;-147.302;-76.957;-43.641;-35.691;-39.538;37.621;6.486;6.486;3.679
1790;-59.057;-80.05;-45.142;-56.16;30.775;3.869;-150.622;-84.251;-43.978;-35.168;-40.197;38.244;5.895;5.895;3.181
1800;-58.632;-80.919;-47.219;-58.334;25.8;1.392;-152.764;-91.04;-44.314;-34.846;-41.057;37.949;6.537;6.537;2.623
1810;-57.887;-84.563;-48.159;-60.595;20.859;-3.404;-154.32;-97.069;-42.811;-34.923;-41.523;36.764;6.383;6.383;1.633
1820;-56.942;-87.574;-48.96;-62.306;15.651;-10.106;-153.298;-101.612;-41.121;-35;-39.309;35.593;6.121;6.121;0.923
1830;-55.517;-92.857;-49.341;-64.978;9.468;-16.888;-150.117;-105.022;-39.432;-35.56;-37.426;34.448;5.415;5.415;-0.039
1840;-54.163;-98.063;-50.641;-67.56;3.16;-24.404;-146.469;-108.354;-37.382;-37.52;-37.023;33.57;6.346;6.346;-0.713
1850;-52.208;-103.019;-50.866;-70.462;-3.694;-31.719;-142.738;-111.167;-34.985;-39.48;-37.909;32.483;7.132;7.132;-1.154
1860;-50.495;-105.559;-50.691;-71.579;-10.054;-38.619;-138.127;-114.152;-32.539;-41.669;-39.43;31.12;7.694;7.694;-1.354
1870;-48.807;-106.605;-50.047;-73.537;-16.734;-45.487;-133.786;-116.474;-30.094;-43.872;-41.192;28.921;7.48;7.48;-1.803
1880;-49.159;-103.314;-47.843;-74.054;-20.727;-51.131;-128.694;-118.639;-27.728;-45.274;-42.677;25.506;6.539;6.539;-2.011
1890;-48.721;-99.872;-46.145;-74.543;-23.888;-56.879;-123.612;-120.297;-25.817;-46.677;-40.123;21.884;5.545;5.545;-2.389
1900;-49.684;-96.605;-43.16;-73.934;-26.81;-62.459;-119.221;-121.126;-23.905;-45.557;-37.823;20.006;3.972;3.972;-2.527
1910;-50.079;-92.741;-41.161;-73.68;-29.403;-68.095;-115.04;-121.037;-21.828;-44.454;-34.017;17.73;1.848;1.848;-3.022
1920;-50.233;-89.323;-38.931;-72.488;-32.448;-75.265;-110.044;-120.934;-20.11;-43.35;-31.513;16.172;0.196;0.196;-3.313
