timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;;06: bdA-.1;07: bdA-.2;08: bdA-.3;09: crybdIm1-.1;10: crybdIm1-.2;11: crybdIm1-.3;12: frq1+.1;13: frq1+.2;14: frq1+.3
2060;-272.531;-160.112;-175.421;-52.462;184.469;;-140.956;-177.884;-146.808;-18.109;-146.709;-76.924;-246.669;-284.728;-244.088
2070;-273.928;-161.23;-184.468;-51.034;185.621;;-146.367;-184.326;-153.291;-18.898;-153.968;-84.632;-248.036;-285.875;-254.143
2080;-275.726;-162.51;-191.29;-49.345;184.218;;-151.386;-190.859;-157.411;-19.687;-159.628;-91.434;-248.982;-287.659;-262.939
2090;-275.269;-163.203;-197.619;-46.775;182.76;;-155.717;-195.833;-160.781;-19.775;-165.953;-98.108;-249.582;-289.619;-270.745
2100;-275.346;-163.418;-202.201;-44.206;181.022;;-160.048;-199.712;-164.497;-19.863;-169.592;-104.79;-249.452;-289.034;-276.946
2110;-275.65;-163.199;-206.05;-41.015;179.257;;-163.752;-203.723;-167.691;-19.903;-173.11;-110.709;-248.401;-288.691;-281.617
2120;-275.792;-162.739;-208.306;-36.982;178.08;;-166.214;-207.121;-170.886;-19.943;-175.332;-115.178;-245.906;-287.988;-284.881
2130;-276.444;-162.268;-211.356;-32.949;178.476;;-168.676;-210.959;-173.059;-19.983;-177.796;-120.668;-243.212;-286.39;-287.836
2140;-276.988;-161.971;-213.745;-28.916;178.586;;-170.826;-214.876;-173.833;-20.509;-180.09;-124.503;-240.715;-285.415;-290.513
2150;-277.556;-161.866;-215.614;-26.731;179.354;;-172.498;-218.497;-174.607;-21.034;-181.761;-127.825;-238.19;-284.309;-292.728
2160;-278.185;-162.753;-215.683;-23.327;179.383;;-174.33;-221.219;-175.244;-22.512;-183.713;-131.498;-236.263;-282.966;-294.523
2170;-279.103;-164.287;-215.818;-19.923;178.668;;-175.938;-223.822;-177.526;-23.989;-185.44;-134.535;-234.372;-280.131;-295.302
2180;-280.043;-165.927;-215.462;-16.519;177.959;;-177.679;-226.748;-179.621;-25.466;-186.977;-137.115;-232.85;-276.439;-294.995
2190;-280.785;-168.163;-215.743;-13.528;176.257;;-178.899;-229.161;-182.468;-27;-188.113;-138.87;-232;-272.486;-294.921
2200;-281.313;-170.817;-216.425;-7.92;174.651;;-179.742;-232.214;-185.201;-28.534;-188.881;-140.207;-231.589;-269.186;-295.055
2210;-281.057;-174.168;-217.633;-2.312;170.52;;-180.625;-234.335;-186.651;-29.473;-190.171;-140.706;-230.916;-266.585;-295.204
2220;-280.281;-177.495;-218.858;3.137;166.334;;-181.601;-235.379;-186.928;-30.412;-192.356;-141.63;-230.317;-264.018;-294.974
2230;-279.389;-180.077;-219.583;9.13;160.993;;-182.932;-236.225;-187.206;-31.352;-193.73;-142.668;-229.881;-260.2;-294.957
2240;-278.414;-182.614;-219.754;15.563;155.032;;-183.463;-236.479;-187.69;-33.257;-194.703;-143.572;-227.902;-256.265;-295.226
2250;-277.341;-184.888;-219.046;21.996;148.848;;-184.059;-236.932;-188.657;-35.161;-195.64;-144.477;-224.597;-251.109;-294.397
2260;-276.241;-187.193;-218.702;26.866;140.047;;-183.884;-236.839;-189.623;-36.923;-196.246;-144.698;-220.75;-247.727;-293.188
2270;-274.797;-189.105;-218.354;32.811;131.273;;-183.709;-236.844;-189.672;-38.684;-196.691;-144.215;-216.945;-244.564;-290.979
2280;-273.408;-191.069;-218.341;38.756;120.219;;-183.103;-236.352;-189.134;-40.446;-197.481;-143.217;-211.302;-239.92;-287.815
2290;-272.259;-193.079;-217.727;44.701;109.166;;-182.087;-236.314;-187.899;-40.327;-199.502;-142.019;-203.742;-235.015;-284.168
2300;-270.841;-194.783;-216.633;49.017;95.952;;-181.07;-235.937;-186.193;-40.208;-201.439;-141.226;-193.793;-227.499;-279.8
2310;-270.01;-195.686;-215.342;53.608;82.731;;-179.527;-235.04;-184.354;-41.257;-203.323;-140.661;-182.524;-219.585;-274.593
2320;-269.178;-195.777;-214.112;58.2;70.057;;-177.164;-233.499;-181.652;-42.305;-204.807;-140.419;-171.341;-210.919;-267.95
2330;-268.381;-195.59;-212.901;62.792;58.862;;-174.961;-231.919;-179.775;-43.353;-205.123;-140.346;-160.288;-200.221;-259.636
