timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;41: wc-1-.1;42: wc-1-.3;43: wc-2-.1;44: wc-2-.2;45: wc-2-.3
1760;19.619;-48.119;-17.494;36.959;10.028;36.637;26.683;70.166;117.748;73.345;-13.492;-0.699;12.051;4.137;8.626
1770;19.163;-49.997;-21.683;40.796;9.382;34.301;27.843;69.154;118.19;74.432;-12.52;0.075;13.432;3.132;12.822
1780;19.666;-51.869;-27.399;43.931;9.057;32.317;28.996;67.444;118.639;75.855;-11.592;0.963;14.572;2.577;17.236
1790;20.073;-52.328;-32.977;47.066;9.097;30.874;30.095;64.735;119.079;76.948;-10.979;1.639;15.738;2.186;21.022
1800;20.04;-51.945;-37.717;46.97;10.088;29.487;31.668;61.697;118.921;78.339;-10.457;2.314;16.903;1.796;24.312
1810;20.172;-50.178;-41.794;46.873;10.84;27.738;33.261;58.283;118.702;80.094;-10.048;2.279;17.938;1.406;28.183
1820;19.745;-48.09;-44.204;43.437;12.252;26.535;34.199;54.539;117.375;81.777;-9.423;2.243;18.772;0.735;32.291
1830;20.532;-45.674;-46.432;38.137;13.141;25.073;34.305;51.117;114.855;83.45;-9.393;1.161;19.397;0.465;36.474
1840;20.248;-43.563;-47.068;33.708;14.949;23.703;34.354;47.843;111.852;85.233;-9.39;0.08;20.022;0.215;41.498
1850;20.946;-42.63;-47.469;28.978;16.763;22.108;34.363;44.37;108.604;86.422;-9.821;-1.581;20.654;-0.034;46.68
1860;20.851;-41.486;-47.077;23.858;19.068;20.299;34.579;40.33;105.294;87.52;-10.135;-3.32;21.646;-0.764;51.502
1870;21.316;-40.863;-47.025;18.75;20.452;18.098;34.578;36.317;101.086;87.797;-10.553;-4.939;22.103;-1.494;56.31
1880;21.801;-39.619;-45.913;13.643;21.295;16.11;34.604;32.734;95.517;88.575;-10.799;-6.632;22.561;-2.134;60.039
1890;22.287;-37.524;-43.881;8.592;21.367;13.484;34.354;29.512;89.281;87.926;-11.044;-8.324;23.123;-2.994;63.877
1900;22.821;-35.292;-40.332;3.541;20.639;10.879;34.159;26.519;83.097;86.698;-10.909;-9.85;23.724;-3.855;66.956
1910;22.394;-32.902;-36.259;-2.545;19.43;8.472;33.846;23.737;76.85;84.446;-10.446;-11.375;23.658;-5.316;69.986
1920;22.368;-30.783;-31.837;-8.59;18.252;6.898;33.35;21.259;70.476;82.434;-10.186;-11.953;23.592;-6.777;73.177
1930;21.782;-29.243;-28.534;-15.721;17.074;5.233;32.161;18.993;63.396;79.327;-10.244;-12.211;23.539;-8.099;76.263
1940;20.097;-28.121;-25.69;-21.509;15.832;4.334;30.924;17.171;56.372;76.159;-10.75;-12.635;23.367;-9.836;79.383
1950;18.819;-26.732;-25.156;-28.119;15.803;3.694;29.277;15.662;50.08;73.326;-10.812;-12.745;22.713;-11.572;82.586
1960;16.218;-25.85;-25.105;-32.054;16.134;3.183;27.472;13.749;43.739;70.343;-10.277;-12.855;22.059;-13.029;85.21
1970;14.317;-24.116;-25.575;-35.989;16.229;2.508;25.632;12.247;37.931;66.564;-9.142;-12.393;21.426;-14.486;89.677
1980;11.897;-22.32;-26.47;-36.43;15.534;0.874;23.777;11.204;31.924;61.821;-7.252;-11.931;21.753;-15.921;92.025
1990;9.724;-18.207;-24.812;-36.872;15.079;-1.004;22.132;10.068;25.01;56.557;-5.21;-11.128;22.119;-17.571;94.31
2000;7.632;-14.206;-22.574;-37.956;15.232;-3.554;20.564;8.848;17.385;51.97;-3.848;-10.726;22.484;-19.061;94.385
2010;5.767;-8.801;-20.025;-39.04;15.772;-6.505;19.015;7.088;8.657;47.487;-2.556;-10.768;22.905;-20.03;94.61
2020;3.702;-4.232;-16.68;-41.742;16.713;-10.121;17.363;5.77;0.153;43.509;-2.023;-11.418;23.326;-21.041;94.848
2030;1.679;-0.2;-11.491;-44.476;17.341;-13.639;15.559;3.76;-8.799;38.724;-2.303;-12.068;23.979;-22.052;96.327
2040;-0.625;2.761;-6.612;-47.28;18.868;-17.637;13.412;1.174;-17.647;32.073;-2.526;-12.379;24.633;-22.995;97.874
2050;-3.203;3.789;-2.07;-49.028;19.034;-21.859;11.199;-1.131;-26.623;24.92;-2.754;-12.691;25.259;-23.417;98.102
2060;-6.403;3.55;3.212;-49.91;18.581;-25.623;8.992;-3.721;-36.964;17.097;-2.063;-12.891;25.366;-23.839;98.323
2070;-9.098;2.65;8.646;-48.937;17.589;-29.513;7.401;-6.684;-46.625;9.303;-0.279;-13.091;25.699;-24.247;95.663
2080;-12.041;1.594;12.52;-47.963;16.877;-33.538;5.942;-9.913;-55.326;1.097;1.636;-12.458;26.033;-24.655;93.115
2090;-13.865;1.283;15.294;-47.641;16.079;-37.596;4.644;-13.895;-62.346;-7.033;3.378;-9.713;26.601;-25.063;91.046
2100;-15.923;2.219;16.89;-47.32;15.287;-41.841;3.299;-17.948;-68.615;-16.112;4.487;-6.608;27.17;-23.952;89.101
2110;-17.101;4.382;18.628;-48.014;13.895;-45.662;2.101;-21.364;-74.563;-26.457;5.27;1.261;27.406;-23.2;87.436
2120;-18.265;6.93;21.51;-48.472;12.633;-48.611;0.703;-24.539;-80.074;-36.81;6.426;9.13;27.641;-22.386;85.792
2130;-19.349;10.64;25.807;-47.419;11.608;-51.108;-0.77;-27.454;-85.295;-47.69;7.346;14.508;27.887;-21.572;83.314
2140;-19.963;13.954;28.16;-46.206;11.943;-52.32;-2.53;-30.737;-90.614;-57.582;8.218;19.885;28.132;-20.717;80.906
2150;-20.937;16.786;28.756;-44.759;13.011;-53.345;-3.841;-34.014;-96.08;-67.868;9.097;21.142;28.359;-19.182;78.764
2160;-20.968;19.88;29.222;-42.218;14.154;-54.132;-4.974;-36.963;-101.737;-77.207;9.993;21.599;28.585;-17.847;75.897
2170;-21.781;22.466;27.87;-39.677;14.858;-55.663;-5.757;-40.072;-106.777;-87.061;11.228;21.739;28.377;-16.457;72.684
2180;-21.985;25.837;26.505;-36.33;14.713;-57.621;-6.414;-43.081;-110.961;-96.288;12.545;21.641;28.168;-15.066;69.979
2190;-21.994;28.75;25.64;-32.982;14.383;-59.754;-7.077;-46.324;-115.263;-105.399;13.777;21.543;28.135;-13.662;67.145
2200;-22.364;31.534;26.93;-29.706;12.854;-61.897;-7.948;-49.79;-120.534;-113.127;14.399;21.088;28.102;-12.698;64.283
2210;-22.458;33.938;29.588;-26.63;11.81;-64.152;-9.339;-52.423;-125.717;-120.531;14.258;20.633;27.826;-11.934;61.434
2220;-22.192;35.629;34.05;-24.363;11.277;-66.447;-10.731;-55.559;-130.797;-127.343;14.269;20.052;27.55;-11.177;55.586
