timepoints (min);31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;41: wc-2+.3;42: wc-1-.1;43: wc-1-.2;44: wc-1-.3;45: wc-2-.1
1600;55.796;6.834;-33.327;40.914;18.318;3.965;17.089;35.676;45.806;21.76;22.803;5.49;-5.161;14.553;23.252
1610;58.623;6.951;-34.15;40.731;16.956;3.108;18.394;34.358;44.838;21.978;24.498;5.448;-5.301;13.386;24.325
1620;61.309;7.08;-34.861;40.572;13.476;3.183;20.079;34.064;43.872;22.195;26.192;5.869;-6.135;12.558;25.177
1630;63.686;6.435;-35.001;40.416;9.178;2.973;20.971;33.733;42.109;23.629;27.684;6.355;-8.362;10.97;25.474
1640;65.563;5.804;-34.633;40.099;5.844;1.713;22.864;33.301;40.348;26.261;28.938;4.879;-8.619;9.901;25.778
1650;66.929;5.003;-34.128;39.027;4.101;1.122;24.379;31.898;38.59;28.892;29.474;2.842;-7.182;7.954;26.088
1660;67.614;5.653;-33.466;37.959;3.159;1.243;25.897;30.839;38.074;31.522;30.012;0.813;-3.182;7.426;27.269
1670;68.243;7.323;-32.417;37.063;2.095;2.253;25.682;30.052;37.415;33.897;30.552;0.008;-0.43;7.222;28.456
1680;70.083;9.319;-31.444;36.172;0.971;3.021;25.821;29.542;36.76;35.472;30.994;-1.364;-0.191;6.902;29.647
1690;71.797;12.589;-30.003;35.356;-0.23;0.671;26.27;28.919;36.11;37.047;30.439;-1.309;0.429;6.72;31.666
1700;73.603;16.264;-28.381;36.143;-1.645;-1.521;25.547;28.652;34.584;38.623;29.887;-1.119;3.089;5.936;33.687
1710;73.918;19.568;-26.652;36.933;-3.059;-2.576;24.826;28.868;33.062;39.531;28.298;-0.926;6.554;6.034;35.711
1720;74.224;23.036;-24.94;37.126;-4.895;-3.877;24.359;28.583;31.543;38.8;26.839;-1.271;9.74;5.963;37.055
1730;74.098;26.424;-23.851;37.321;-7.198;-5.053;25.122;28.616;30.349;38.069;25.181;-0.163;13.246;6.97;38.403
1740;74.263;28.058;-23.412;37.492;-9.495;-5.964;26.28;28.666;29.159;37.339;23.524;-0.817;15.676;7.825;39.753
1750;69.621;25.879;-22.221;33.433;-13.983;-7.268;25.505;24.433;26.459;36.131;19.688;-4.796;16.497;5.553;36.986
1760;64.088;23.059;-22.808;29.374;-19.472;-9.531;24.73;19.331;23.76;35.443;15.88;-8.775;15.437;3.299;34.219
1770;60.492;22.15;-23.21;27.114;-24.597;-13.534;23.397;16.283;21.741;34.754;12.392;-10.35;13.317;0.796;31.452
1780;57.977;21.841;-21.668;24.855;-28.32;-15.363;21.455;15.357;19.721;34.066;8.503;-10.323;16.217;-0.072;28.328
1790;56.295;22.236;-16.239;22.692;-30.408;-15.935;20.472;14.894;17.702;33.199;4.615;-9.073;16.625;-0.087;26.328
1800;55.574;20.63;-11.375;22.41;-31.291;-16.461;21.608;14.481;14.923;33.531;0.617;-8.288;17.223;-0.423;24.328
1810;54.56;19.535;-6.044;22.168;-30.266;-18.066;22.745;13.589;12.143;33.863;-3.222;-7.503;17.884;-1.01;22.592
1820;53.433;17.352;-0.541;21.567;-30.221;-19.764;24.054;12.15;9.454;34.196;-6.461;-7.796;19.63;-1.265;21.625
1830;51.086;15.644;4.366;20.966;-30.175;-20.036;23.334;10.881;6.764;34.532;-9.699;-8.437;19.847;-1.677;20.658
1840;49.324;14.498;11.15;20.294;-30.699;-20.495;22.248;9.626;4.794;34.269;-13.208;-8.897;21.294;-1.055;19.836
1850;46.643;14.628;17.887;19.92;-30.273;-21.554;21.538;9.783;2.825;34.006;-16.717;-9.091;21.614;-0.908;18.743
1860;44.192;14.829;25.288;19.491;-29.833;-22.309;20.828;9.625;0.855;33.742;-20.386;-9.286;23.774;-1.335;17.651
1870;41.403;16.51;32.172;17.582;-27.677;-21.91;20.481;9.428;-1.114;33.134;-23.552;-9.683;26.11;-1.476;16.559
1880;38.84;18.706;36.36;16.57;-25.521;-22.703;20.386;10.123;-2.284;31.286;-26.517;-10.615;29.866;-1.92;16.301
1890;36.312;20.317;37.741;15.153;-23.726;-23.429;19.076;11.052;-3.385;29.437;-29.483;-11.174;31.913;-2.597;16.043
1900;35.023;22.195;39.328;14.252;-23.178;-23.339;17.804;11.011;-3.679;27.589;-32.128;-11.592;31.934;-3.706;15.785
1910;33.324;23.01;41.165;13.331;-23.037;-24.077;16.532;10.546;-4.212;25.49;-34.194;-12.01;29.928;-3.71;14.01
1920;32.185;23.687;43.43;12.45;-22.647;-25.666;16.632;11.022;-4.746;23.764;-36.261;-12.905;28.219;-4.371;12.234
1930;30.425;22.792;46.81;11.823;-21.897;-27.339;16.004;10.839;-5.28;22.039;-38.327;-12.908;26.323;-5.19;10.459
1940;28.593;22;49.753;11.09;-19.888;-27.132;13.168;10.752;-5.814;20.313;-40.193;-11.908;24.051;-5.763;9.359
1950;26.681;22.048;52.593;9.423;-18.059;-27.51;11.487;11.021;-5.468;18.833;-41.728;-10.81;21.299;-5.484;8.258
1960;24.866;22.469;52.585;7.764;-17.004;-28.946;9.806;11.033;-4.921;17.993;-42.223;-9.712;19.234;-5.506;7.157
1970;24.088;20.81;51.908;6.665;-16.214;-29.528;9.877;8.992;-3.782;17.153;-42.719;-8.41;17.705;-5.872;7.193
1980;23.668;19.068;50.39;5.572;-14.621;-30.112;9.572;6.775;-2.643;16.313;-44.257;-8.821;17.143;-7.152;7.229
1990;23.854;19.859;48.996;4.727;-13.121;-30.255;8.11;4.735;-1.983;15.48;-45.815;-8.557;17.502;-8.618;7.265
2000;24.2;20.692;50.167;4.314;-11.622;-31.559;6.85;3.612;-1.324;14.796;-45.974;-7.632;18.92;-9.877;6.708
2010;24.519;22.088;53.146;3.909;-10.148;-32.041;5.589;2.303;-0.665;14.112;-44.972;-6.706;20.852;-10.692;6.15
2020;24.539;23.622;56.167;2.503;-6.828;-31.272;4.258;2.586;-0.686;13.428;-44.295;-6.534;21.698;-10.647;5.593
2030;23.959;23.632;56.041;1.132;-3.101;-31.342;3.32;2.314;-0.541;12.399;-43.121;-8.196;17.49;-10.592;4.775
2040;23.28;22.913;54.272;-0.804;-0.21;-31.913;1.102;2.076;-0.327;11.459;-41.948;-11.143;14.759;-10.51;3.079
2050;21.481;21.766;51.505;-2.877;2.681;-32.346;-0.97;1.17;-0.113;10.52;-39.974;-12.87;12.994;-11.719;1.382
2060;19.517;19.439;49.643;-4.95;4.23;-33.154;-3.041;0.35;0.741;9.581;-38.221;-14.597;11.514;-11.692;-0.301
2070;16.473;17.512;47.657;-6.543;5.953;-34.168;-5.454;0.17;1.594;7.957;-37.061;-14.865;9.786;-12.079;-1.71
2080;14.079;15.014;45.353;-7.999;8.156;-35.139;-7.321;0.317;2.448;6.309;-35.901;-15.137;6.908;-12.414;-3.12
2090;11.297;13.394;40.48;-9.528;9.161;-35.539;-7.632;-0.992;2.582;4.661;-34.581;-15.861;1.909;-13.513;-4.564
