timepoints (min);01: bdA,+ -1;02: bdA,+ -2;03: bdA,+ -3;04: crybdIm1,+ -1;05: crybdIm1,+ -2;06: crybdIm1,+ -3;07: bdA,- -1;08: bdA,- -2;09: bdA,- -3;10: crybdIm1,- -1;11: crybdIm1,- -2;12: crybdIm1,- -3;13: frq1,+ -1;14: frq1,+ -2;15: frq1,+ -3
11860;397.924;258.597;338.27;215.121;426.644;352.163;86.24;178.12;28.644;-0.45;18.523;54.341;0;0;0
11870;412.99;278.414;353.531;231.622;444.472;371.019;87.734;191.79;34.356;5.212;23.117;58.894;0;0;0
11880;427.626;297.91;366.703;248.243;460.179;390.503;90.269;207.153;39.764;10.734;29.192;63.419;0;0;0
11890;440.863;316.443;379.848;263.509;475.291;410.015;94.007;223.763;44.532;16.297;35.301;69.034;0;0;0
11900;451.803;332.268;391.139;278.308;489.857;428.087;97.731;240.338;48.735;23.592;44.822;74.088;0;0;0
11910;461.87;348.059;399.589;294.12;504.477;442.894;103.735;258.086;55.458;30.887;54.979;80.618;0;0;0
11920;470.05;364.128;407.512;308.692;517.977;456.629;109.567;275.785;62.357;40.276;65.143;84.048;0;0;0
11930;476.877;379.526;412.779;322.486;530.996;468.484;116.252;293.923;73.092;50.865;74.77;88.279;0;0;0
11940;481.305;395.621;416.127;335.851;542.902;478.059;122.89;307.378;84.647;60.284;84.396;91.768;0;0;0
11950;483.61;409.299;418.168;349.937;554.843;486.13;127.223;320.75;98.474;70.223;94.168;98.418;0;0;0
11960;484.754;421.826;418.207;362.528;561.247;492.448;131.258;329.575;112.436;78.196;104.03;106.466;0;0;0
11970;483.326;433.953;418.419;375.36;564.211;496.738;136.477;337.368;125.822;87.006;115.186;116.512;0;0;0
11980;478.119;444.432;418.312;387.469;563.68;500.308;142.857;344.036;138.937;95.815;126.446;127.633;0;0;0
11990;469.713;452.179;417.222;398.698;563.218;501.621;149.277;347.917;152.334;106.13;138.825;138.658;0;0;0
12000;460.138;459.557;416.043;408.89;557.774;502.885;152.698;351.895;162.774;116.924;152.237;148.923;0;0;0
12010;447.163;462.934;413.983;417.866;547.93;500.55;156.063;353.327;173.266;129.811;165.65;159.063;0;0;0
12020;433.309;465.12;410.265;425.897;534.659;495.666;157.859;354.079;185.581;143.898;176.691;170.364;0;0;0
12030;415.996;465.255;405.269;431.767;521.568;488.989;159.655;353.481;198.193;157.452;187.574;184.905;0;0;0
12040;395.618;462.843;398.393;437.61;505.072;482.225;161.406;349.433;211.419;168.207;198.137;199.223;0;0;0
12050;375.455;458.425;388.677;441.217;485.015;474.301;163.636;345.378;224.972;178.913;208.513;213.792;0;0;0
12060;353.913;451.047;376.261;445.023;461.589;466.27;164.87;340.05;238.126;188.77;217.93;225.652;0;0;0
12070;329.891;438.352;362.399;447.43;435.537;457.352;164.494;333.241;252.164;199.186;225.639;235.152;0;0;0
12080;304.909;424.13;346.625;422.611;401.854;426.691;164.145;325.011;266.203;210.68;232.509;244.651;0;0;0
12090;276.407;406.868;326.559;396.498;368.011;395.79;162.161;313.354;276.519;222.614;236.56;252.863;0;0;0
12100;247.698;390.56;306.731;370.385;334.488;365.183;160.164;301.698;286.862;232.818;240.687;260.979;0;0;0
12110;217.117;372.399;283.843;343.979;301.255;334.721;153.501;286.767;294.166;238.662;244.721;269.349;0;0;0
12120;186.537;354.479;260.995;317.874;268.05;304.779;146.223;271.836;301.161;244.596;247.07;276.25;0;0;0
12130;155.563;333.658;236.978;291.615;234.524;274.623;138.001;253.535;310.277;248.203;248.203;283.15;0;0;0
12140;124.589;310.999;211.868;265.356;200.237;244.468;129.477;232.578;317.812;251.81;245.53;287.174;0;0;0
12150;93.777;288.367;187.549;237.923;165.954;213.593;121.015;211.614;325.21;252.461;239.764;291.197;0;0;0
12160;63.898;263.97;162.937;209.572;131.692;183.079;110.676;189.92;328.561;251.832;231.623;292.345;0;0;0
12170;33.863;238.772;138.906;181.234;98.23;153.601;99.926;168.226;331.858;249.097;222.964;292.488;0;0;0
12180;5.65;213.255;114.644;152.897;64.728;124.234;87.655;146.852;328.451;244.841;213.932;291.79;0;0;0
12190;-21.196;187.061;91.283;124.487;32.701;95.43;75.37;126.072;321.49;240.641;204.52;286.85;0;0;0
12200;-47.601;160.145;69.535;95.343;0.487;66.066;62.986;105.498;312.248;236.059;194.36;278.749;0;0;0
12210;-73.102;131.767;49.721;66.09;-30.697;38.481;50.445;86.007;300.557;231.477;183.772;270.057;0;0;0
12220;-99.629;103.892;29.982;36.676;-61.16;10.876;37.331;67.596;289.614;224.968;169.945;259.75;0;0;0
12230;-124.305;75.763;10.834;7.921;-89.345;-17.85;24.617;50.759;276.095;215.499;156.221;247.561;0;0;0
12240;-147.317;47.516;-7.593;-19.884;-117.571;-46.099;11.571;36.652;258.385;204.703;140.817;232.952;0;0;0
12250;-170.33;20.487;-26.852;-47.69;-141.858;-74.356;0.766;23.15;243.337;195.308;124.028;216.737;0;0;0
12260;-190.902;-5.845;-44.463;-75.054;-161.945;-100.47;-10.501;10.794;226.956;185.808;105.654;197.93;0;0;0
12270;-211.474;-31.138;-61.881;-101.517;-178.898;-124.625;-20.956;-1.109;208.781;174.854;89.39;177.309;0;0;0
12280;-229.444;-54.811;-78.015;-125.745;-195.872;-146.945;-31.494;-14.548;190.886;163.782;73.058;156.688;0;0;0
12290;-244.337;-75.491;-93.932;-149.972;-210.629;-169.072;-41.207;-25.794;172.156;154.879;57.726;136.937;0;0;0
12300;-259.167;-96.211;-108.27;-173.154;-222.026;-190.288;-50.92;-38.003;153.476;145.975;42.826;117.295;0;0;0
12310;-271.476;-114.04;-121.128;-196.461;-230.901;-211.585;-59.12;-50.564;134.948;135.854;27.916;98.177;0;0;0
12320;-281.215;-130.241;-132.938;-219.724;-237.559;-231.966;-66.114;-63.312;115.463;123.052;14.844;80.793;0;0;0
12330;-291.13;-146.47;-144.561;-217.628;-236.324;-230.483;-72.964;-76.457;96.881;110.396;1.538;63.41;0;0;0
12340;-297.324;-158.923;-153.295;-215.607;-235.09;-229;-78.461;-86.406;78.761;97.812;-8.855;45.909;0;0;0
12350;-304.564;-172.061;-161.981;-213.648;-233.793;-227.503;-83.937;-95.819;60.241;85.153;-20.124;28.408;0;0;0
12360;-309.057;-181.757;-167.465;-211.69;-232.476;-226.097;-84.476;-103.11;43.537;74.691;-31.286;11.35;0;0;0
12370;-312.694;-191.612;-174.051;-209.676;-231.172;-224.655;-85.317;-110.996;26.832;64.126;-40.981;-3.972;0;0;0
12380;-315.611;-198.309;-178.877;-207.579;-229.869;-223.214;-86.083;-117.756;7.586;54.455;-50.821;-19.157;0;0;0
12390;-318.24;-202.245;-181.594;-205.462;-228.572;-221.586;-88.07;-122.892;-11.164;44.785;-57.276;-32.516;0;0;0
12400;-321.229;-206.382;-183.988;-203.345;-227.214;-219.786;-90.01;-128.553;-30.108;35.25;-64.254;-45.792;0;0;0
12410;-324.211;-208.426;-186.543;-201.221;-225.655;-217.945;-91.366;-134.188;-47.277;26.72;-70.108;-57.378;0;0;0
12420;-326.477;-210.79;-189.099;-198.993;-223.724;-216.103;-91.999;-139.036;-64.447;18.163;-75.681;-68.73;0;0;0
12430;-329.143;-212.607;-190.76;-196.807;-221.793;-214.097;-92.632;-144.466;-78.435;9.552;-81.331;-79.937;0;0;0
12440;-331.328;-214.316;-191.823;-194.621;-219.745;-211.821;-92.843;-147.986;-88.792;1.051;-86.716;-88.566;0;0;0
12450;-333.794;-215.132;-193.007;-192.503;-217.372;-209.545;-93.054;-151.986;-99.353;-8.112;-91.861;-97.07;0;0;0
12460;-336.287;-214.461;-194.552;-190.428;-214.538;-207.2;-93.771;-155.612;-107.727;-17.288;-96.268;-104.778;0;0;0
12470;-337.946;-214.178;-195.723;-188.276;-211.703;-205.041;-94.79;-159.139;-116.519;-25.512;-98.314;-112.65;0;0;0
12480;-339.186;-213.419;-197.789;-186.124;-208.448;-202.917;-95.81;-163.64;-121.898;-30.593;-100.244;-120.521;0;0;0
12490;-339.258;-211.763;-199.855;-183.745;-204.945;-200.793;-95.749;-168.057;-122.803;-35.84;-101.974;-126.306;0;0;0
12500;-339.157;-210.858;-200.892;-181.09;-201.359;-198.324;-95.688;-173.273;-123.957;-42.753;-104.724;-132.001;0;0;0
12510;-338.577;-208.833;-200.963;-178.434;-197.772;-195.379;-95.401;-178.041;-123.786;-49.763;-105.814;-135.476;0;0;0
12520;-337.844;-208.159;-200.393;-175.538;-194.138;-192.434;-95.066;-182.84;-123.183;-57.571;-107.023;-138.255;0;0;0
12530;-336.274;-206.234;-199.149;-172.503;-190.414;-189.166;-94.614;-185.972;-122.223;-65.428;-107.779;-141.034;0;0;0
12540;-334.593;-204.502;-197.846;-169.379;-186.745;-185.586;-94.774;-188.252;-121.443;-73.59;-109.785;-144.548;0;0;0
12550;-331.357;-202.799;-196.988;-166.255;-183.076;-181.641;-94.492;-189.612;-120.43;-81.753;-112.054;-148.061;0;0;0
12560;-328.201;-200.648;-196.13;-162.876;-178.628;-177.697;-94.552;-190.537;-119.363;-86.832;-114.468;-149.862;0;0;0
12570;-323.393;-197.906;-195.153;-159.476;-173.71;-173.414;-93.895;-190.461;-119.135;-89.497;-116.768;-150.366;0;0;0
12580;-318.334;-194.403;-194.197;-156.048;-168.531;-168.814;-93.508;-190.374;-121.025;-92.32;-119.239;-150.697;0;0;0
12590;-312.361;-191.526;-192.687;-152.621;-163.352;-163.91;-92.389;-190.484;-122.914;-95.745;-122.406;-152.152;0;0;0
12600;-304.483;-187.608;-190.572;-149.034;-158.041;-159.007;-91.139;-190.874;-124.988;-99.342;-124.618;-153.193;0;0;0
12610;-296.804;-183.403;-188.902;-145.317;-152.697;-153.841;-90.683;-191.956;-127.182;-103.665;-127.182;-154.979;0;0;0
12620;-288.521;-178.756;-186.4;-141.586;-147.297;-148.586;-89.229;-192.677;-129.737;-108.208;-129.206;-157.596;0;0;0
12630;-280.301;-173.349;-183.898;-137.855;-141.897;-143.331;-87.775;-192.708;-132.636;-112.23;-131.206;-160.771;0;0;0
12640;-271.397;-168.817;-183.008;-134.124;-136.303;-138.062;-85.851;-192.979;-135.615;-116.073;-132.599;-163.611;0;0;0
12650;-262.321;-164.292;-181.974;-130.172;-130.676;-132.731;-84.01;-192.651;-138.359;-118.862;-132.912;-166.513;0;0;0
12660;-253.888;-160.372;-180.378;-126.221;-124.903;-127.366;-82.946;-191.39;-141.102;-120.72;-133.087;-168.474;0;0;0
12670;-246.215;-156.102;-178.601;-122.021;-119.007;-122;-83.001;-190.73;-143.502;-122.488;-132.84;-170.097;0;0;0
12680;-237.926;-151.652;-177.247;-117.497;-113.11;-116.648;-83.057;-189.41;-146.12;-123.257;-132.681;-171.719;0;0;0
12690;-230.076;-147.145;-174.723;-112.752;-107.186;-111.255;-83.043;-188.434;-147.459;-123.742;-132.317;-172.961;0;0;0
