timepoints (min);27: frq9-.1;28: frq9-.2;29: frq9-.3;30: frq10-.1;31: frq10-.2;32: frq10-.3;33: wc-1+.1;34: wc-1+.2;35: wc-1+.3;36: wc-1-.1;37: wc-1-.2;38: wc-1-.3;39: wc-2-.1;40: wc-2-.2;41: wc-2-.3
2500;-14.308;-13.582;-38.287;-33.292;18.713;18.79;52.953;259.272;232.64;5.694;28.921;-2.032;-2.481;6.353;45.487
2510;-14.421;-11.214;-40.873;-33.146;20.843;20.903;62.339;247.155;249.415;16.945;29.67;1.553;-1.255;8.043;49.61
2520;-14.534;-7.886;-43.123;-32.993;23.262;23.898;72.097;234.486;264.697;26.41;28.167;2.924;-0.029;9.732;53.732
2530;-15.13;-4.197;-45.372;-32.661;25.243;25.652;82.715;219.752;280.033;34.001;26.37;4.677;1.229;11.422;54.189
2540;-15.932;-0.385;-47.327;-32.363;27.072;28.407;93.837;202.593;295.284;40.484;24.154;6.499;3.706;12.759;55.404
2550;-16.735;2.068;-50.401;-31.545;28.844;29.357;105.167;185.441;309.708;47.023;21.618;9.383;6.183;14.095;56.619
2560;-16.908;4.52;-53.476;-30.817;30.16;32.308;116.119;166.643;322.392;53.589;19.302;12.33;7.513;15.029;55.663
2570;-16.846;6.772;-56.67;-29.972;30;35.153;126.917;147.735;335.141;60.211;16.826;15.221;8.615;15.963;55.963
2580;-17.833;6.785;-59.844;-29.128;29.942;38.279;136.948;128.919;348.385;66.279;14.346;16.263;8.223;16.897;56.262
2590;-16.76;6.756;-61.04;-29.366;29.974;41.314;146.995;110.928;360.143;71.399;11.874;17.375;6.131;17.279;56.121
2600;-15.687;6.817;-62.236;-29.306;30.725;45.23;156.327;94.29;367.455;75.749;10.221;17.757;4.039;17.661;55.67
2610;-14.926;6.877;-63.739;-29.174;31.65;48.244;165.709;78.375;371.759;79.76;7.931;18.444;4.17;17.95;53.539
2620;-12.942;7.138;-63.887;-28.963;32.788;52.138;175.439;61.673;374.368;84.164;5.061;18.57;6.691;18.24;51.408
2630;-10.548;7.302;-64.034;-28.772;33.808;55.731;184.408;43.761;374.674;88.872;2.069;17.941;8.179;18.53;49.339
2640;-9.323;9.546;-64.164;-27.742;33.338;59.444;192.919;24.891;374.159;93.156;-0.855;17.423;10.796;18.019;48.753
2650;-8.098;11.666;-64.025;-26.712;32.626;62.167;199.528;9.177;372.164;96.553;-3.359;15.869;13.412;17.53;48.167
2660;-6.35;14.106;-64.086;-24.935;29.948;64.77;206.08;-6.455;365.892;98.393;-6.146;14.45;16.461;16.923;46.726
2670;-5.648;16.986;-63.786;-23.421;27.193;65.092;212.211;-18.259;359.328;98.564;-9.654;12.968;17.788;17.116;44.286
2680;-5.139;19.632;-63.742;-21.606;23.857;65.852;216.401;-29.53;352.943;98.428;-12.56;12.81;19.059;17.309;41.845
2690;-3.548;21.517;-64.364;-19.763;20.672;67.812;218.241;-41.516;342.403;98.412;-15.604;13.003;17.975;17.502;39.406
2700;-1.956;23.513;-64.986;-17.872;19.345;70.474;220.705;-51.348;330.228;97.633;-19.302;13.626;16.891;17.188;36.466
2710;-0.914;25.592;-64.883;-16.143;18.018;73.097;223.022;-60.892;316.542;95.052;-22.448;14.011;13.855;16.873;30.829
2720;2.174;26.47;-64.221;-14.353;17.128;76.229;223.761;-68.817;302.503;90.669;-24.352;14.466;14.928;15.233;25.192
2730;5.262;27.735;-63.559;-14.261;16.094;78.201;221.463;-76.699;288.25;85.217;-26.189;13.208;16.001;13.593;20.488
2740;9.968;29.014;-61.512;-14.168;13.728;79.328;217.665;-82.563;273.717;77.85;-27.098;11.244;19.172;11.953;13.528
2750;14.709;28.372;-59.361;-14.914;11.19;78.855;213.446;-86.866;258.401;66.854;-27.47;9.266;22.55;10.753;6.568
2760;19.994;27.662;-56.771;-15.419;8.669;75.992;207.142;-90.501;243.001;54.939;-27.181;5.726;24.199;9.705;-0.192
2770;24.299;26.952;-53.661;-16.124;6.134;72.088;200.135;-94.121;228.014;46.605;-25.812;5.229;24.248;8.539;-7.634
2780;28.604;25.161;-50.654;-17.135;3.657;67.221;191.768;-95.065;213.033;39.726;-23.607;4.726;24.298;7.734;-10.997
2790;33.192;23.185;-47.687;-18.126;1.069;61.353;182.772;-93.756;197.099;31.881;-21.679;4.901;23.046;6.928;-14.36
