timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;;26: frq10+.1;27: frq10+.2;28: frq10+.3
1920;-113.564;-120.068;-89.622;-21.108;-73.892;;-32.8;-66.21;-50.807;-63.058;-137.03;;13.931;-24.709;10.418
1930;-113.815;-120.252;-90.388;-19.927;-75.921;;-32.528;-65.713;-53.999;-59.459;-134.989;;12.899;-22.737;10.568
1940;-113.906;-120.305;-91.934;-18.684;-77.95;;-32.823;-65.608;-56.859;-56.208;-133.788;;11.843;-19.796;10.39
1950;-114.45;-119.404;-94.694;-17.425;-80.287;;-33.16;-64.757;-58.487;-53.137;-132.697;;10.848;-17.428;10.412
1960;-115.397;-118.412;-96.094;-17.69;-82.189;;-33.665;-64.386;-60.888;-50.592;-129.233;;9.779;-15.114;10.892
1970;-116.778;-117.313;-97.079;-18.594;-83.106;;-34.19;-63.97;-63.017;-48.537;-126.29;;8.749;-13.614;11.647
1980;-118.396;-116.486;-98.036;-20.244;-83.51;;-35.368;-63.454;-66.759;-46.433;-123.27;;7.777;-12.371;11.774
1990;-118.232;-115.407;-98.103;-21.949;-84.314;;-36.526;-63.239;-70.08;-44.8;-121.308;;6.823;-13.186;11.406
2000;-117.766;-114.102;-96.968;-25.074;-85.228;;-38.239;-62.721;-72.17;-41.83;-118.025;;5.847;-16.594;10.892
2010;-117.466;-113.352;-95.618;-28.352;-85.692;;-39.945;-61.819;-73.846;-38.723;-114.666;;4.6;-19.81;10.36
2020;-116.681;-112.145;-94.692;-31.43;-85.599;;-40.277;-60.957;-73.731;-35.377;-110.553;;3.594;-24.12;9.411
2030;-115.888;-110.785;-93.618;-34.661;-85.392;;-40.61;-60.182;-73.658;-30.892;-108.24;;2.639;-27.008;8.594
2040;-115.04;-108.75;-91.666;-37.993;-84.615;;-39.498;-59.497;-72.705;-26.788;-106.134;;1.625;-31.01;7.132
2050;-114.032;-106.876;-90.439;-41.326;-84.487;;-38.386;-58.211;-71.314;-23.993;-105.734;;-0.392;-34.261;5.43
2060;-112.815;-105.266;-88.954;-43.847;-83.63;;-35.909;-56.812;-69.745;-22.368;-103.894;;-2.354;-37.519;4.196
2070;-111.508;-103.567;-87.352;-47.048;-82.43;;-33.16;-55.657;-68.498;-21.083;-102.33;;-3.745;-38.263;3.008
2080;-110.814;-101.561;-85.062;-49.563;-81.593;;-30.131;-54.034;-67.161;-19.566;-100.92;;-5.149;-38.892;1.868
2090;-110.677;-98.935;-83.113;-51.957;-81.197;;-29.501;-51.779;-65.985;-17.366;-100.618;;-6.745;-39.495;0.821
2100;-109.797;-95.945;-81.523;-54.16;-81.979;;-28.87;-49.483;-65.381;-14.206;-100.172;;-7.261;-38.476;0.036
2110;-108.996;-93.93;-80.458;-55.683;-82.792;;-28.938;-48.714;-64.297;-10.814;-99.883;;-7.753;-35.65;-0.374
2120;-107.927;-91.847;-79.479;-56.687;-83.124;;-28.926;-48.146;-63.341;-7.887;-99.939;;-8.204;-32.41;-0.593
2130;-106.753;-89.594;-77.899;-57.691;-83.457;;-29.444;-49.194;-62.847;-4;-100.116;;-8.779;-29.17;-0.709
2140;-104.967;-87.516;-76.011;-58.887;-83.72;;-29.768;-49.396;-62.633;0.046;-99.509;;-9.234;-25.188;-1.153
2150;-103.248;-84.375;-74.403;-60.014;-83.903;;-29.928;-47.91;-62.826;4.028;-98.594;;-10.047;-21.135;-2.309
2160;-101.13;-81.392;-73.099;-60.832;-83.766;;-29.992;-46.473;-63.059;7.65;-95.845;;-10.781;-19.09;-3.444
2170;-99.134;-78.401;-71.476;-61.712;-82.825;;-29.312;-45.894;-63.366;11.123;-91.513;;-11.134;-16.076;-4.846
2180;-97.201;-75.779;-70.146;-60.99;-81.684;;-28.95;-44.674;-63.794;13.637;-87.764;;-10.684;-14.49;-5.452
2190;-95.11;-73.27;-68.828;-60.269;-80.44;;-28.674;-43.167;-64.023;17.432;-82.621;;-10.866;-13.036;-5.832
2200;-93.073;-71.061;-67.674;-59.491;-78.137;;-28.399;-41.297;-64.839;20.709;-77.596;;-10.826;-11.6;-5.397
2210;-91.869;-69.091;-66.739;-57.513;-75.73;;-27.343;-39.716;-64.894;24.27;-73.192;;-10.753;-10.844;-6
