timepoints (min);46: wc-2-.3
12290;22.923
12300;25.514
12310;28.155
12320;31.092
12330;29.95
12340;26.899
12350;23.959
12360;20.098
12370;15.905
12380;11.926
12390;7.506
12400;2.444
12410;-2.68
12420;-4.644
12430;-5.837
12440;-6.961
12450;-7.766
12460;-7.145
12470;-6.669
12480;-6.553
12490;-7.068
12500;-7.727
12510;-7.186
12520;-8.086
12530;-9.261
12540;-11.756
12550;-14.011
12560;-15.983
12570;-18.316
12580;-20.408
12590;-20.406
12600;-20.403
12610;-20.465
12620;-19.946
12630;-19.308
12640;-18.662
12650;-17.574
12660;-16.606
12670;-15.686
12680;-15.343
12690;-14.601
12700;-14.101
12710;-14.68
12720;-15.937
12730;-17.207
12740;-18.157
12750;-19.381
12760;-20.963
12770;-21.105
12780;-20.575
12790;-20.142
12800;-19.949
12810;-19.259
12820;-18.846
12830;-18.672
12840;-17.754
12850;-17.313
12860;-16.752
12870;-16.79
12880;-17.08
12890;-17.37
12900;-18.039
12910;-18.588
12920;-18.777
12930;-18.262
12940;-17.782
12950;-17.942
12960;-17.943
12970;-17.475
12980;-18.246
12990;-18.941
13000;-19.756
13010;-20.342
13020;-21.473
13030;-23.324
13040;-25.299
13050;-27.33
13060;-30.16
13070;-32.15
13080;-33.796
13090;-36.281
13100;-37.927
13110;-39.476
13120;-40.425
13130;-41.134
13140;-41.615
13150;-41.103
13160;-41.352
13170;-41.898
13180;-42.396
13190;-43.691
13200;-44.346
13210;-45.321
13220;-46.2
13230;-45.839
13240;-45.517
13250;-45.313
13260;-45.469
13270;-45.345
13280;-45.145
13290;-44.731
13300;-42.917
13310;-40.917
13320;-39.564
13330;-38.131
13340;-36.753
13350;-36.215
13360;-33.349
13370;-30.731
13380;-28.353
13390;-25.615
13400;-22.836
13410;-19.297
13420;-14.157
13430;-9.128
13440;-3.619
13450;4.65
13460;13.28
13470;21.91
13480;31.321
13490;40.772
13500;48.451
13510;56.109
13520;63.487
13530;70.803
13540;76.068
13550;79.932
13560;83.694
13570;89.004
13580;94.234
13590;99.465
13600;104.64
13610;108.495
13620;112.35
13630;116.274
13640;118.039
13650;119.803
13660;121.705
13670;121.986
13680;120.628
13690;119.414
13700;115.661
13710;110.148
13720;104.531
13730;98.154
13740;91.833
13750;86.054
13760;80.275
13770;74.571
13780;68.588
13790;64.724
13800;60.75
13810;56.701
13820;50.051
13830;43.188
13840;36.352
13850;29.636
13860;22.222
13870;14.808
13880;7.581
13890;2.964
13900;-1.652
13910;-6.221
13920;-11.764
13930;-15.668
13940;-19.571
13950;-23.447
13960;-27.003
13970;-30.559
13980;-34.149
13990;-36.579
14000;-37.89
14010;-39.331
14020;-40.807
14030;-41.123
14040;-41.521
14050;-41.913
14060;-42.72
14070;-42.607
14080;-42.494
14090;-42.408
14100;-42.603
14110;-42.797
14120;-43.088
14130;-43.019
14140;-44.03
14150;-44.8
14160;-45.059
14170;-44.199
14180;-43.324
14190;-42.429
14200;-41.094
14210;-37.96
14220;-34.826
14230;-31.421
14240;-29.079
14250;-26.737
14260;-24.615
14270;-22.098
14280;-20.461
14290;-18.761
14300;-17.866
14310;-16.611
14320;-15.356
14330;-13.666
14340;-12.297
14350;-11.077
14360;-9.789
14370;-8.581
14380;-7.732
14390;-7.25
14400;-6.794
14410;-6.499
14420;-5.914
14430;-5.364
14440;-4.974
14450;-5.023
14460;-4.942
14470;-5.171
14480;-6.8
14490;-8.705
14500;-10.727
14510;-13.029
14520;-15.451
14530;-18.156
14540;-20.833
14550;-21.55
14560;-22.571
14570;-23.385
14580;-23.759
14590;-23.812
14600;-24.059
14610;-24.292
14620;-24.246
14630;-24.247
14640;-24.434
14650;-24.662
14660;-25.33
14670;-26.156
14680;-26.872
14690;-27.308
14700;-27.723
14710;-28
14720;-27.437
14730;-25.794
14740;-23.965
