timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.2;21: frq1-.3;22: frq7-.1;23: frq7-.2;24: frq7-.3;25: frq9+.1;26: frq9+.2;27: frq9+.3;28: frq10+.1;29: frq10+.2;30: frq10+.3
1300;109.645;149.197;152.145;-100.37;-137.926;1.683;213.039;50.763;242.529;-57.115;41.665;50.805;31.789;22.416;42.261
1310;108.629;155.156;151.75;-100.904;-145.129;-4.498;216.562;58.805;251.355;-47.652;44.05;48.057;33.076;23.112;41.285
1320;108.244;160.28;152.171;-100.717;-151.932;-9.285;219.659;66.928;261.084;-37.948;46.793;45.303;33.406;23.901;40.63
1330;103.028;159.652;147.21;-101.148;-161.021;-18.106;218.117;73.483;267.356;-33.619;44.879;36.132;32.108;23.923;37.764
1340;98.623;158.931;142.563;-102.138;-167.909;-26.39;216.255;79.957;271.523;-29.401;42.779;26.354;30.794;23.702;35.19
1350;95.96;160.063;138.286;-103.164;-174.446;-33.617;213.924;86.83;273.96;-25.694;41.297;14.866;29.022;23.385;32.094
1360;92.888;161.326;134.281;-103.503;-179.822;-40.843;211.719;94.248;273.899;-23.124;37.448;8.13;27.25;23.054;29.277
1370;90.794;162.065;131.923;-104.874;-184.792;-46.051;207.913;101.432;273.561;-21.832;34.855;2.568;25.302;21.763;26.514
1380;88.821;163.08;130.033;-107.953;-190.099;-51.259;203.738;108.636;272.143;-18.4;29.861;-2.228;23.334;19.993;21.961
1390;89.483;162.412;127.932;-111.022;-195.269;-55.789;197.403;115.28;270.32;-15.425;26.139;-4.732;21.276;17.959;17.848
1400;91.948;161.132;126.425;-113.498;-199.12;-60.319;192.614;121.308;268.52;-11.33;23.53;-6.589;19.618;16.676;13.389
1410;94.342;159.36;125.542;-115.946;-202.35;-65.153;187.892;126.381;265.872;-8.633;22.24;-8.068;18.792;15.513;11.207
1420;97.658;158.186;126.39;-117.055;-204.324;-70.69;183.668;131.323;262.69;-4.458;21.452;-9.863;18.434;14.39;9.794
1430;100.634;158.963;128.047;-116.563;-205.901;-75.026;180.629;135.342;257.102;-2.083;22.761;-14.567;17.917;13.768;8.684
1440;102.823;160.021;128.914;-114.299;-208.028;-77.345;177.804;139.361;251.721;1.468;24.491;-19.222;17.081;13.003;7.694
1450;105.726;161.582;129.662;-112.523;-211.495;-79.663;174.979;143.174;244.025;5.101;26.981;-23.09;16.59;12.357;6.31
1460;109.701;162.975;129.739;-111.368;-214.777;-80.103;174.119;146.356;236.363;8.219;29.288;-23.35;16.275;11.412;5.786
1470;113.223;165.015;128.968;-110.127;-219.218;-80.371;171.611;148.287;228.56;9.686;31.83;-25.091;16.119;10.888;5.648
1480;117.234;167.445;128.161;-109.703;-222.852;-81.246;168.255;149.669;220.757;12.188;33.188;-25.07;15.866;10.513;5.281
1490;120.782;168.44;126.103;-109.612;-226.708;-82.906;162.517;151.051;213.299;14.014;33.527;-25.27;15.206;10.338;5.499
1500;123.978;169.69;123.101;-111.457;-229.921;-85.327;156.459;152.018;205.986;17.179;33.852;-26.866;14.004;9.886;5.957
1510;126.577;171.694;119.956;-113.823;-231.273;-87.217;149.469;152.345;197.233;19.255;34.247;-25.662;12.734;9.257;6.484
1520;129.989;174.444;117.119;-118.33;-233.425;-89.106;142.745;152.782;188.563;20.403;35.334;-25.959;11.652;8.492;5.843
1530;134.066;176.87;116.345;-122.858;-234.612;-88.25;135.168;154.377;178.846;21.989;36.819;-26.542;11.036;7.817;4.768
1540;137.93;177.459;118.515;-125.712;-233.029;-87.262;129.021;155.971;168.403;20.236;38.219;-27.683;10.668;6.712;3.552
1550;139.961;177.84;122.246;-126.985;-230.963;-86.04;122.928;157.473;158.534;16.726;38.814;-28.823;9.379;5.15;2.426
1560;140.433;178.219;125.436;-128.188;-226.312;-85.004;116.07;155.295;149.025;13.404;38.793;-28.53;8.219;3.492;1.946
1570;138.625;178.706;128.745;-127.717;-221.137;-83.128;109.59;152.59;137.316;10.855;38.052;-29.029;7.197;1.774;1.404
1580;136.066;178.561;131.388;-127.44;-214.081;-80.738;102.582;149.241;125.897;9.306;36.905;-25.537;6.288;-0.066;1.934
1590;133.775;178.286;132.526;-126.299;-205.985;-78.028;95.859;145.212;114.309;9.433;36.699;-22.044;5.623;-1.546;2.226
1600;130.366;178.103;132.652;-125.528;-196.906;-75.873;88.928;140.874;104.799;11.087;36.866;-15.65;5.297;-2.331;2.559
1610;127.357;178.153;133.051;-124.484;-187.804;-73.601;82.037;136.537;95.288;12.953;36.683;-9.524;4.79;-2.764;2.157
1620;124.469;178.01;133.526;-123.429;-178.048;-72.029;75.623;131.217;85.708;13.458;36.034;-4.037;3.804;-2.852;1.757
1630;121.539;176.342;133.48;-121.45;-166.692;-70.298;70.29;126.345;76.182;12.746;37.172;1.146;2.159;-2.488;2.786
1640;117.897;175.494;133.927;-120.108;-154.716;-66.812;65.428;120.913;66.33;13.059;37.701;3.124;0.575;-2.179;3.505
1650;113.88;174.452;134.247;-118.61;-143.579;-62.39;59.626;115.994;56.553;14.639;38.243;5.061;-0.705;-2.862;4.59
1660;108.41;172.52;134.561;-115.567;-132.567;-58.018;53.839;111.007;48.542;18.084;36.954;7.657;-2.143;-3.203;4.865
1670;102.526;168.44;135.259;-110.633;-120.92;-54.054;46.625;105.658;40.531;21.992;39.698;10.204;-3.458;-3.625;5.019
1680;96.872;160.986;134.785;-106.126;-109.287;-50.062;37.97;99.92;34.339;24.372;40.286;12.495;-4.345;-4.268;5.211
1690;91.288;152.932;133.703;-100.794;-95.989;-45.797;29.034;93.102;28.217;25.737;41.673;15.076;-4.79;-4.887;5.31
1700;86.723;145.175;131.185;-93.039;-82.538;-41.594;19.968;86.588;22.854;26.337;42.435;16.617;-5.215;-5.341;5.45
1710;82.389;137.714;129.343;-84.148;-68.789;-36.97;11.088;80.239;16.437;28.932;42.13;18.785;-6.197;-5.499;5.734
1720;78.084;130.044;127.719;-71.985;-53.302;-32.241;4.014;75.141;10.516;32.719;41.777;21.435;-6.386;-5.101;5.611
1730;73.259;122.08;125.262;-58.661;-37.65;-27.332;-1.994;70.022;4.52;35.585;41.463;23.505;-6.548;-4.89;6.524
1740;69.321;115.24;122.764;-43.201;-20.811;-21.03;-5.283;65.785;-0.281;38.59;40.683;25.135;-6.869;-4.886;6.957
1750;65.103;107.404;120.215;-31.862;-4.51;-14.783;-7.852;61.735;-5.966;41.003;40.997;26.317;-6.324;-4.879;7.412
1760;60.703;99.575;116.978;-17.086;10.67;-6.665;-9.586;57.451;-10.148;43.135;40.879;23.153;-5.952;-4.868;6.87
1770;56.004;91.394;112.908;-0.439;25.196;1.295;-11.437;52.781;-15.534;45.578;39.102;20.072;-6.539;-4.436;5.888
1780;51.317;84.331;108.674;16.47;41.077;10.916;-12.997;48.097;-19.15;47.349;35.851;16.957;-7.727;-3.69;4.899
1790;47.062;79.461;103.593;33.874;60.519;20.537;-14.461;42.203;-22.746;50.589;32.628;14.505;-8.549;-2.708;4.08
1800;42.359;75.106;97.568;49.839;80.153;26.966;-16.832;36.726;-26.342;54.837;31.245;12.546;-8.825;-1.794;4.121
1810;37.083;69.284;91.95;66.872;94.628;35.448;-18.334;30.67;-29.854;57.359;30.743;11.703;-8.888;-0.839;4.552
