timepoints (min);01: bdA+.1;02: bdA+.2;03: bdA+.3;04: crybdIm1+.1;05: crybdIm1+.2;06: crybdIm1+.3;07: bdA-.1;08: bdA-.2;09: bdA-.3;10: crybdIm1-.1;11: crybdIm1-.2;12: crybdIm1-.3;13: frq1+.1;14: frq1+.2;15: frq1+.3
7730;194.297;291.835;249.594;260.116;296.723;227.592;129.823;133.312;159.291;176.447;184.446;169.225;198.139;129.033;258.029
7740;172.463;263.691;228.146;236.592;267.434;201.366;102.079;101.916;139.858;156.112;152.621;150.022;171.163;107.788;231.379
7750;149.819;234.692;206.966;213.36;236.401;174.538;73.71;70.686;119.532;136.497;120.197;131.366;143.381;87.28;201.775
7760;126.491;205.812;185.898;189.654;205.833;147.372;47.054;40.429;100.019;116.971;90.081;112.861;116.69;67.452;170.777
7770;103.126;176.407;163.461;165.753;174.27;120.612;23.652;12.934;80.617;96.894;63.865;93.83;89.954;47.468;138.916
7780;79.623;145.88;140.177;141.817;142.072;93.643;3.142;-12.634;60.436;77.541;38.309;73.815;61.946;26.977;106.168
7790;56.457;115.992;116.292;117.775;109.457;66.292;-14.894;-36.589;41.526;59.549;14.215;53.903;33.465;6.959;74.099
7800;33.252;86.208;91.807;93.43;76.8;39.65;-28.17;-56.31;24.266;42.39;-7.501;33.916;5.316;-12.451;41.643
7810;10.35;57.04;67.812;68.288;44.68;14.721;-38.782;-75.83;7.061;26.41;-29.189;15.03;-22.754;-31.577;8.688
7820;-12.074;27.621;43.88;43.578;14.108;-9.814;-49.446;-92.883;-8.499;12.381;-47.823;-5.57;-49.716;-50.943;-24.076
7830;-33.766;-1.666;21.487;19.447;-14.568;-33.066;-59.488;-103.659;-24.399;-1.639;-61.556;-22.01;-76.617;-70.334;-55.185
7840;-54.201;-29.348;-0.058;-4.207;-41.785;-53.748;-66.993;-112.963;-37.652;-15.188;-73.359;-33.985;-103.906;-89.303;-84.28
