timepoints (min);46: wc-2,- -1;47: wc-2,- -2;48: wc-2,- -3
3480;-2.108;4.068;1.677
3490;2.745;12.895;5.323
3500;7.117;16.083;4.448
3510;11.49;20.394;5.614
3520;12.73;24.834;6.717
3530;12.669;28.674;6.541
3540;12.608;32.328;9.921
3550;12.548;32.622;13.268
3560;15.08;32.393;18.974
3570;17.026;31.861;28.978
3580;18.972;29.848;37.975
3590;20.919;28.132;48.003
3600;23.399;23.657;55.67
3610;25.879;19.181;63.814
3620;28.145;13.926;72.156
3630;29.404;9.406;80.138
3640;30.663;4.885;89.148
3650;32.003;-3.177;95.117
3660;33.101;-10.68;99.847
3670;32.048;-15.023;100.35
3680;29.436;-22.811;99.934
3690;26.823;-30.006;99.572
3700;24.183;-37.24;102.983
3710;19.902;-45.215;106.074
3720;15.621;-53.19;108.986
3730;10.899;-63.953;112.778
3740;6.074;-73.556;116.101
3750;1.709;-83.159;119.486
3760;-2.657;-93.81;119.71
3770;-6.662;-104.621;119.818
3780;-8.788;-115.432;119.588
3790;-10.913;-127.229;115.459
3800;-13.039;-133.586;111.331
3810;-15.604;-139.943;107.509
3820;-15.949;-145.514;99.789
3830;-16.294;-147.388;92.069
3840;-16.639;-149.261;85.255
3850;-18.063;-148.997;80.801
3860;-18.985;-148.954;74.868
3870;-19.906;-147.912;68.623
3880;-20.828;-144.737;62.739
3890;-21.029;-141.851;54.455
3900;-23.428;-136.065;45.861
3910;-25.826;-127.479;39.586
3920;-28.225;-118.892;33.719
3930;-27.532;-105.586;28.957
3940;-26.792;-90.64;27.036
3950;-26.051;-75.694;25.377
3960;-25.31;-58.241;24.724
3970;-24.579;-40.349;23.782
3980;-23.36;-22.457;22.364
3990;-22.141;-6.372;22.746
4000;-20.921;9.103;22.501
4010;-21.039;24.579;24.923
4020;-21.578;38.735;27.2
4030;-22.117;52.174;29.477
4040;-22.657;65.612;31.88
4050;-23.446;79.508;34.71
4060;-23.829;92.775;36.701
4070;-24.212;106.146;39.043
4080;-24.479;115.917;41.385
