timepoints (min);31: frq9,- -1;32: frq9,- -2;33: frq9,- -3;34: frq10,- -1;35: frq10,- -2;36: frq10,- -3;37: wc-1,+ -1;38: wc-1,+ -2;39: wc-1,+ -3;40: wc-2,+ -1;41: wc-2,+ -2;42: wc-2,+ -3;43: wc-1,- -1;44: wc-1,- -2;45: wc-1,- -3
1350;-3.539;-17.173;19.278;124.117;61.283;38.148;-16.667;45.142;43.588;3.228;74.289;25.403;67.912;70.896;53.513
1360;-4.808;-19.121;12.366;126.734;55.651;39.759;-16.698;41.95;44.747;1.164;73.971;26.693;70.278;72.331;56.469
1370;-5.186;-21.062;5.83;129.11;49.904;36.994;-13.861;37.03;44.976;-1.06;72.717;26.359;73.117;72.997;60.957
1380;-6.29;-20.673;-1.211;131.348;45.085;34.164;-10.132;32.62;42.746;-3.866;71.132;24.706;76.288;74.331;64.639
1390;-7.061;-20.277;-7.223;130.883;41.086;29.513;-7.801;29.201;39.253;-6.107;70.077;22.857;78.197;73.381;67.283
1400;-7.251;-19.876;-12.018;128.163;38.151;26.46;-6.24;25.732;37.658;-8.905;69.018;20.808;79.097;74.258;69.165
1410;-6.872;-17.377;-16.549;125.451;36.99;23.903;-5.161;22.786;36.21;-11.052;68.456;18.851;79.993;74.921;71.39
1420;-6.108;-14.871;-19.787;123.605;36.218;21.584;-4.508;20.557;33.201;-13.203;66.521;17.676;80.47;76.45;73.208
1430;-3.708;-12.571;-22.784;121.713;34.625;18.279;-3.086;19.081;30.034;-14.552;65.538;16.409;81.413;78.437;73.573
1440;-1.407;-10.266;-25.171;119.145;31.997;14.062;-0.625;16.594;26.96;-15.39;64.468;14.983;82.545;78.887;74.177
1450;0.866;-9.386;-29.029;112.051;25.683;8.647;-2.942;7.305;21.817;-17.869;60.244;11.83;83.008;79.321;73.312
1460;3.479;-8.589;-31.152;104.957;17.313;4.901;-5.517;-2.444;17.481;-20.29;54.444;9.117;83.825;77.451;72.12
1470;5.211;-7.792;-34.314;96.223;10.423;3.194;-6.254;-9.337;14.524;-22.834;48.152;7.343;82.921;75.702;67.048
1480;7.262;-7.234;-37.139;87.49;3.617;2.057;-8.531;-14.032;11.036;-23.926;42.189;6.221;81.935;72.539;67.063
1490;7.633;-6.643;-38.404;79.063;-2.43;0.879;-12.647;-17.378;9.257;-22.982;36.644;5.055;77.996;68.897;65.346
1500;8.006;-6.051;-39.79;74.349;-7.063;-0.105;-18.291;-18.68;7;-22.233;32.846;3.459;72.541;65.131;64.069
1510;7.338;-6.539;-40.657;69.414;-11.177;0.306;-23.872;-20.127;6.073;-21.647;30.661;1.789;68.497;61.793;61.873
1520;6.51;-7.069;-40.992;64.754;-14.509;1.17;-28.713;-22.097;5.03;-21.855;28.938;0.666;64.811;58.288;59.919
1530;4.768;-10.439;-41.727;60.095;-17.537;1.72;-30.797;-25.572;2.468;-21.702;27.73;0.048;62.846;56.277;57.204
1540;1.506;-13.629;-42.622;53.383;-19.586;0.993;-31.641;-28.023;1.815;-22.063;25.261;-1.422;62.378;53.32;55.07
1550;-1.197;-16.523;-43.331;46.532;-21.556;-2.134;-35.539;-28.79;2.972;-22.517;23.404;-3.148;62.103;52.532;52.39
1560;-3.461;-19.777;-44.08;39.847;-23.726;-6.702;-40.09;-29.019;2.439;-22.607;21.028;-5.236;61.999;51.502;49.603
1570;-5.793;-22.989;-46.105;34.21;-25.949;-11.952;-44.106;-29.866;0.097;-22.67;18.968;-7.126;61.542;51.703;45.564
1580;-7.046;-25.766;-48.25;28.828;-28.2;-18.721;-49.608;-30.811;-2.779;-22.661;16.097;-8.966;61.174;49.003;42.574
1590;-8.077;-28.542;-51.073;23.592;-29.601;-26.568;-55.334;-31.99;-5.766;-22.309;12.292;-10.519;59.725;47.018;39.512
1600;-9.989;-31.477;-53.618;16.514;-30.185;-35.575;-59.959;-33.848;-10.006;-20.759;9.077;-12.178;57.917;44.789;35.938
1610;-11.749;-33.84;-54.99;9.575;-31.185;-42.64;-64.782;-36.708;-15.618;-18.462;7.124;-13.563;57.121;42.618;33.548
1620;-13.982;-36.417;-55.942;1.058;-31.545;-46.316;-72.611;-40.461;-19.057;-16.177;6.695;-13.101;56.181;40.594;31.97
1630;-15.939;-39.212;-56.374;-7.404;-33.39;-48.808;-80.789;-43.508;-20.497;-13.859;6.183;-11.63;55.04;37.925;30.844
1640;-19.017;-42.008;-56.215;-15.17;-35.996;-49.647;-89.73;-46.995;-21.628;-11.807;5;-11.52;54.33;32.928;30.159
