timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;20: frq1-.3;;21: frq7-.1;22: frq7-.2;;23: frq9+.1;24: frq9+.2;25: frq9+.3;26: frq10+.1;27: frq10+.2;28: frq10+.3
1590;169.808;94.383;122.516;-43.062;-128.808;;-2.672;16.574;;-72.629;74.897;-4.705;-20.567;9.887;16.56
1600;157.847;88.229;106.673;-39.783;-130;;-3.101;15.859;;-64.694;72.181;6.457;-22.865;9.243;17.192
1610;142.411;81.548;90.72;-35.839;-131.644;;-3.084;13.603;;-59.6;67.505;17.611;-22.945;7.96;16.738
1620;130.223;74.455;73.399;-32.294;-132.691;;-2.895;10.117;;-51.701;61.528;26.389;-22.92;5.903;15.859
1630;118.072;67.521;56.774;-28.611;-132.67;;-2.728;9.079;;-46.252;55.25;35.439;-22.046;3.156;15.767
1640;104.658;58.91;38.804;-26.941;-131.05;;-2.396;8.603;;-37.92;49.251;42.316;-21.4;0.782;14.331
1650;92.997;49.989;23.662;-24.994;-130.08;;-1.863;8.487;;-30.156;45.679;50.047;-20.69;-1.764;7.262
1660;82.054;41.174;12.76;-22.008;-128.357;;-1.524;7.208;;-20.71;41.839;56.978;-20.247;-5.2;-1.83
1670;68.803;31.077;3.917;-18.194;-125.519;;-0.368;4.31;;-13.374;38.752;65.716;-20.6;-8.458;-11.501
1680;56.639;20.417;-5.91;-12.863;-123.88;;0.788;0.072;;-2.825;37.303;72.745;-20.51;-10.459;-11.526
1690;43.11;8.685;-15.372;-7.39;-121.926;;1.619;-4.847;;8.244;36.061;78.326;-20.901;-11.134;-9.399
1700;29.53;-3.552;-23.88;-1.772;-118.262;;2.451;-10.222;;18.819;34.404;83.542;-21.008;-11.021;-7.862
1710;15.396;-15.199;-33.088;1.695;-115.611;;3.349;-15.517;;28.463;30.701;88.789;-22.036;-11.321;-7.55
1720;0.65;-26.015;-42.979;5.011;-110.284;;4.767;-17.913;;39.159;28.939;89.371;-23.36;-10.64;-7.644
1730;-13.487;-34.876;-51.236;8.197;-104.914;;6.35;-20.91;;50.277;27.857;90.212;-25.778;-9.836;-8.877
1740;-26.621;-41.772;-59.539;10.223;-100.385;;7.948;-22.887;;62.277;29.019;95.006;-27.554;-9.199;-11.021
1750;-38.964;-47.999;-67.873;11.815;-94.055;;10.746;-26.143;;73.805;31.746;99.254;-28.034;-9.029;-13.622
1760;-52.541;-55.137;-76.259;14.124;-87.937;;13.033;-33.519;;87.029;35.483;110.008;-30.549;-8.908;-14.021
1770;-67.269;-62.263;-84.481;16.281;-82.564;;15.32;-41.823;;100.472;41.381;114.363;-32.106;-7.807;-11.677
1780;-80.381;-69.406;-91.342;18.759;-76.592;;17.644;-46.847;;114.752;50.206;119.806;-32.741;-6.767;-8.95
1790;-92.052;-78.437;-99.046;21.028;-70.702;;20.023;-50.975;;130.283;56.952;120.738;-32.361;-6.69;-8.731
1800;-101.927;-86.334;-106.521;23.248;-64.284;;21.243;-53.828;;144.103;63.662;122.087;-32.873;-8.33;-10.353
1810;-110.233;-92.65;-111.527;20.713;-58.868;;22.428;-54.961;;153.011;66.695;122.469;-29.217;-8.397;-9.956
1820;-118.757;-97.948;-116.331;17.847;-53.138;;22.548;-54.538;;163.128;68.954;121.669;-27.559;-7.96;-8.655
1830;-126.963;-104.633;-119.935;16.901;-47.408;;22.474;-52.859;;174.243;69.388;121.604;-27.497;-8.441;-9.382
1840;-133.348;-110.342;-122.332;15.153;-40.815;;22.688;-51.101;;182.937;69.469;121.172;-28.55;-9.123;-11.046
1850;-139.721;-114.777;-124.143;13.75;-33.978;;22.902;-48.102;;190.887;68.392;119.33;-29.141;-8.909;-13.269
1860;-145.988;-119.029;-126.514;13.71;-25.166;;23.519;-43.499;;198.999;68.239;119.07;-31.298;-5.902;-14.415
1870;-149.725;-123.39;-128.661;13.443;-16.847;;24.135;-38.386;;203.065;68.725;120.731;-30.986;-3.288;-15.199
1880;-151.455;-126.433;-130.843;14.8;-7.448;;24.808;-36.265;;205.113;68.234;123.597;-29.276;-0.774;-16.083
1890;-150.459;-128.145;-131.79;18.299;0.143;;25.481;-33.938;;204.32;66.426;126.15;-27.194;0.532;-16.194
1900;-149.706;-131.108;-134.6;21.654;8.57;;25.611;-32.206;;204.669;62.279;128.703;-24.989;1.683;-16.306
1910;-151.212;-134.102;-138.305;25.328;16.332;;25.844;-30.018;;204.897;58.597;130.861;-20.472;3.923;-15.11
1920;-153.083;-135.977;-143.178;28.575;24.175;;25.557;-26.604;;205.978;55.626;131.461;-18.756;5.512;-14.239
1930;-154.443;-138.317;-147.697;33.215;32.266;;25.112;-26.617;;202.903;51.432;130.374;-18.679;5.55;-15.091
1940;-154.739;-140.953;-152.371;38.434;42.069;;24.51;-25.673;;198.697;45.56;128.604;-17.068;5.614;-16.223
1950;-155.372;-143.017;-155.392;43.654;51.556;;23.909;-23.33;;195.047;37.488;128.607;-15.661;5.113;-17.968
1960;-156.857;-146.196;-158.706;49.6;63.163;;23.028;-20.783;;190.934;31.495;129.164;-14.199;3.79;-18.309
1970;-158.484;-149.396;-162.843;55.298;71.894;;22.146;-16.652;;186.143;22.782;130.855;-14.211;1.123;-18.277
1980;-159.633;-152.737;-167.208;61.968;78.774;;22.703;-11.713;;181.47;13.313;127.734;-15.026;-1.786;-17.766
