timepoints (min);16: frq7+.1;17: frq7+.2;18: frq7+.3;19: frq1-.1;;;20: frq7-.1;21: frq7-.2;22: frq7-.3;23: frq9+.2;24: frq9+.3;;25: frq10+.1;26: frq10+.3
1630;244.143;182.492;98.88;-29.451;;;9.759;208.789;273.592;79.524;-73.687;;-139.101;111.501
1640;241.314;185.593;91.788;-35.746;;;11.959;195.513;269.723;79.076;-81.328;;-148.352;78.971
1650;238.229;186.734;85.143;-39.862;;;12.09;183.382;264.126;76.188;-87.24;;-156.498;52.721
1660;235.937;186.618;79.221;-43.41;;;11.321;172.541;255.77;72.975;-90.418;;-161.836;27.106
1670;236.708;186.821;73.939;-47.779;;;10.63;163.821;248.324;71.403;-90.884;;-166.699;3.395
1680;231.971;184.931;68.796;-51.621;;;10.222;154.859;241.524;74.15;-91.553;;-171.992;-17.757
1690;227.359;181.378;63.688;-54.759;;;7.396;145.221;232.804;74.578;-91.622;;-175.153;-29.985
1700;222.604;180.481;58.928;-56.363;;;3.468;133.828;223.301;75.321;-89.794;;-175.959;-42.426
1710;215.76;179.306;54.065;-58.188;;;-0.542;120.941;212.719;76.665;-89.967;;-176.585;-44.308
1720;205.83;174.83;47.723;-60.371;;;-4.596;108.337;198.928;76.481;-89.843;;-178.819;-40.888
1730;194.865;170.106;39.876;-63.634;;;-6.823;96.76;185.313;80.538;-92.306;;-181.775;-36.924
1740;183.043;163.392;32.463;-67.175;;;-8.062;85.497;172.567;84.25;-94.73;;-183.439;-37.472
1750;172.553;151.657;27.152;-71.095;;;-9.862;74.559;163.194;86.441;-94.972;;-185.705;-43.949
1760;162.644;140.001;21.295;-74.108;;;-12.251;63.523;157.182;88.847;-94.095;;-187.174;-48.406
1770;152.246;127.686;14.501;-76.412;;;-14.411;52.885;150.266;88.732;-93.218;;-190.55;-52.068
1780;140.331;114.12;7.668;-79.408;;;-17.65;42.575;143.777;88.618;-88.661;;-193.513;-52.491
1790;126.754;99.011;0.993;-82.67;;;-22.142;31.37;132.241;86.103;-84.262;;-196.55;-54.37
1800;111.006;82.844;-5.756;-85.748;;;-27.349;20.292;121.483;83.823;-79.601;;-198.6;-58.553
1810;94.694;65.819;-11.923;-88.872;;;-31.583;9.556;111.234;85.023;-75.021;;-199.703;-63.914
1820;79.618;49.155;-18.159;-91.934;;;-35.719;0.359;99.677;86.072;-71.497;;-200.135;-68.524
1830;64.567;31.852;-22.404;-94.927;;;-39.461;-5.832;88.56;84.72;-65.492;;-201.142;-70.775
1840;50.283;18.241;-26.207;-98.12;;;-45.095;-10.626;78.335;83.203;-61.378;;-203.106;-67.379
1850;36.854;4.27;-29.934;-100.423;;;-51.686;-16.229;67.022;82.926;-53.069;;-204.221;-64.694
1860;24.149;-10.255;-34.451;-101.983;;;-56.957;-20.778;61.302;82.814;-44.948;;-204.24;-56.33
1870;8.396;-24.695;-38.934;-103.181;;;-61.64;-25.316;55.852;83.382;-40.845;;-202.946;-47.19
1880;-8.048;-40.335;-42.31;-104.996;;;-67.108;-29.239;50.513;84.247;-38.943;;-202.644;-38.768
1890;-27.081;-56.782;-43.341;-106.957;;;-72.058;-32.723;43.206;84.352;-38.948;;-203.619;-29.531
1900;-44.865;-71.477;-44.454;-109.63;;;-73.629;-35.321;35.934;84.277;-40.432;;-206.137;-28.301
1910;-60.981;-84.812;-46.12;-112.632;;;-74.752;-38.389;31.494;86.043;-45.084;;-208.702;-26.974
1920;-78.919;-99.171;-48.731;-114.364;;;-76.643;-43.543;26.179;87.601;-52.753;;-209.756;-29.61
1930;-93.43;-112.561;-51.756;-115.862;;;-78.178;-48.557;19.597;85.28;-59.102;;-209.436;-32.646
1940;-107.069;-124.392;-54.218;-116.637;;;-78.25;-53.703;13.866;83.31;-62.76;;-209.931;-37.03
1950;-119.919;-136.92;-56.846;-117.217;;;-76.996;-57.599;8.383;80.781;-67.298;;-209.948;-40.785
1960;-132.932;-148.914;-60.163;-117.374;;;-77.221;-59.728;3.145;78.417;-69.836;;-209.065;-51.819
1970;-144.837;-162.309;-63.433;-117.583;;;-76.047;-61.592;-2.983;77.652;-71.774;;-208.094;-66.247
1980;-156.793;-175.029;-65.705;-117.268;;;-73.779;-63.737;-8.877;77.247;-71.193;;-206.946;-81.648
1990;-168.295;-185.497;-68.677;-116.775;;;-70.819;-65.252;-13.44;75.401;-69.432;;-205.561;-92.89
2000;-180.64;-191.608;-72.931;-116.33;;;-68.578;-67.164;-18.105;73.618;-69.63;;-202.972;-98.284
2010;-193.13;-198.985;-77.309;-116.342;;;-67.874;-69.611;-25.054;72.594;-68.294;;-199.646;-103.243
2020;-205.749;-205.342;-82.596;-116.317;;;-67.684;-72.37;-32.382;73.651;-67.237;;-194.148;-111.841
2030;-217.977;-210.168;-86.708;-115.537;;;-66.21;-75.175;-41.28;74.868;-69.833;;-189.257;-120.578
2040;-229.516;-214.192;-90.854;-114.742;;;-63.537;-76.948;-49.01;77.007;-71.916;;-181.132;-130.411
2050;-238.495;-217.233;-94.037;-112.979;;;-62.423;-78.608;-55.425;78.866;-73.488;;-171.691;-136.461
2060;-247.383;-220.804;-97.497;-111.684;;;-63.639;-80.557;-60.681;79.44;-73.552;;-162.166;-142.051
2070;-257.661;-224.294;-101.032;-110.76;;;-64.726;-82.843;-63.978;79.774;-72.455;;-154.083;-146.241
2080;-267.157;-227.498;-104.792;-109.501;;;-65.851;-85.317;-69.146;80.713;-70.691;;-143.753;-152.575
2090;-273.68;-230.992;-108.189;-108.508;;;-67.603;-87.655;-73.423;81.692;-69.367;;-133.381;-159.314
2100;-277.634;-233.953;-111.531;-107.452;;;-69.688;-89.225;-75.959;81.745;-71.92;;-125.145;-165.743
2110;-285.046;-236.821;-114.501;-105.596;;;-70.903;-91.65;-80.128;82.477;-71.677;;-116.858;-171.33
2120;-289.858;-240.167;-117.926;-103.919;;;-70.848;-92.687;-83.399;82.93;-66.994;;-107.799;-174.549
2130;-292.891;-241.446;-121.821;-102.001;;;-71.76;-93.145;-87.15;83.069;-62.572;;-98.252;-177.154
2140;-293.492;-241.444;-125.972;-99.692;;;-72.601;-94.164;-91.142;84.048;-54.47;;-85.743;-178.99
2150;-294.59;-240.719;-130.428;-97.252;;;-72.499;-95.659;-94.757;83.444;-44.943;;-72.535;-177.577
2160;-295.069;-240.428;-132.748;-94.241;;;-72.959;-97.815;-97.163;81.4;-32.978;;-58.514;-176.128
2170;-294.586;-239.417;-134.954;-90.494;;;-72.996;-98.643;-97.538;78.586;-18.092;;-44.932;-174.117
2180;-292.567;-239.276;-137.334;-85.857;;;-74.771;-98.869;-96.783;75.532;-2.266;;-33.274;-172.28
2190;-291.106;-239.273;-140.088;-81.32;;;-77.96;-99.193;-95.057;72.51;11;;-19.247;-170.415
2200;-290.542;-239.47;-142.948;-76.076;;;-81.426;-100.143;-95.789;69.808;25.411;;-4.046;-167.597
2210;-287.917;-240.383;-144.931;-68.872;;;-85.676;-101.283;-96.601;67.025;41.982;;9.725;-162.521
2220;-289.341;-241.607;-146.352;-61.743;;;-90.451;-101.844;-95.465;64.161;57.684;;25.491;-156.79
2230;-289.277;-244.03;-147.462;-53.152;;;-94.997;-101.825;-93.181;61.422;73.228;;43.44;-148.897
2240;-288.825;-247.378;-147.782;-43.96;;;-99.934;-101.506;-91.476;60.883;88.066;;60.308;-141.763
2250;-288.517;-252.523;-147.062;-33.876;;;-103.877;-100.626;-90.859;60.812;102.306;;78.683;-135.132
2260;-288.503;-256.388;-146.604;-23.888;;;-107.394;-99.854;-89.379;59.542;114.786;;97.043;-128.557
2270;-289.229;-259.059;-145.228;-13.288;;;-111.353;-99.11;-85.999;57.934;127.581;;115.105;-119.222
2280;-288.497;-262.193;-144.826;-3.897;;;-115.697;-98.41;-84.498;55.006;139.695;;133.519;-110.916
2290;-288.114;-266.087;-144.887;4.806;;;-120.749;-97.877;-84.076;52.36;151.262;;148.964;-102.378
2300;-287.844;-270.527;-144.439;13.279;;;-124.284;-97.068;-85.532;49.554;161.782;;161.925;-94
