timepoints (min);16: frq7+.1;17: frq7+.2;;18: frq1-.1;19: frq1-.2;20: frq1-.3;21: frq7-.1;22: frq7-.2;23: frq7-.3;24: frq9+.1;25: frq9+.2;26: frq9+.3;27: frq10+.1;28: frq10+.2;29: frq10+.3
2220;-58.734;-173.666;;-46.559;-58.714;-20.199;-47.154;-133.51;-107.731;-42.27;-140.748;56.676;50.636;23.023;-63.132
2230;-54.657;-171.337;;-38.52;-55.15;-12.313;-47.836;-134.859;-108.874;-33.797;-145.021;67.121;59.967;18.337;-61.73
2240;-49.806;-169.036;;-30.502;-51.419;-4.875;-49.086;-136.545;-109.825;-22.41;-150.007;75.908;71.771;12.701;-59.934
2250;-45.324;-166.879;;-21.859;-47.644;3.287;-51.348;-138.262;-109.775;-9.128;-155.639;83.052;86.37;5.138;-58.564
2260;-40.912;-165.392;;-13.279;-44.418;11.881;-53.513;-139.748;-109.975;4.061;-161.272;89.717;100.789;-3.803;-57.499
2270;-34.829;-163.343;;-4.801;-39.084;20.476;-55.406;-140.626;-109.815;18.458;-166.259;95.459;115.068;-11.272;-56.637
2280;-27.148;-162.337;;4.208;-33.492;29.636;-56.337;-141.526;-110.396;34.651;-171.018;100.841;127.763;-18.903;-55.106
2290;-19.607;-161.451;;14.51;-27.908;37.954;-57.454;-141.314;-111.272;51.928;-176.183;106.079;140.313;-26.252;-52.668
2300;-11.599;-161.137;;24.875;-21.214;44.977;-57.33;-141.818;-112.236;71.983;-181.188;111.277;153.891;-34.058;-49.743
2310;-4.741;-160.392;;37.986;-15.047;50.932;-56.946;-141.012;-113.812;92.097;-185.363;116.513;164.574;-41.121;-47.314
2320;3.51;-160.066;;51.404;-6.193;56.808;-57.124;-139.942;-114.727;112.796;-188.782;122.96;175.337;-44.668;-44.897
2330;10.521;-160.406;;64.808;3.214;64.055;-57.399;-138.686;-114.346;129.811;-191.022;129.448;182.317;-48.4;-41.022
2340;16.392;-161.366;;79.277;14.088;71.822;-57.454;-137.537;-113.868;145.607;-193.097;135.901;191.49;-53.339;-38.539
2350;22.146;-161.299;;96.142;25.155;82.708;-57.519;-135.389;-114.523;163.444;-195.553;142.243;198.41;-56.924;-36.39
2360;28.334;-160.076;;112.952;36.028;92.828;-57.418;-134.234;-114.734;180.352;-197.59;149.582;208.446;-60.172;-34.61
2370;32.265;-159.742;;130.084;46.908;103.548;-57.291;-132.477;-115.8;197.239;-199.812;157.086;218.726;-64.194;-32.366
2380;36.12;-159.716;;145.196;58.268;113.072;-57.909;-131.396;-117.055;215.432;-201.357;164.357;225.21;-69.526;-30.128
2390;39.73;-159.498;;160.308;70.553;123.156;-59.563;-129.444;-118.305;231.63;-202.701;168.673;226.692;-75.177;-28.319
2400;42.683;-160.037;;171.212;82.818;132.197;-61.154;-127.679;-119.603;246.979;-204.028;172.982;228.617;-80.997;-25.807
2410;46.25;-159.846;;184.069;94.44;140.299;-63.524;-125.021;-119.545;260.894;-205.074;176.603;232.513;-85.761;-23.123
2420;49.087;-156.323;;196.345;105.854;147.279;-66.498;-121.588;-119.43;273.236;-205.321;179.971;236.535;-88.913;-17.632
2430;50.61;-152.217;;208.481;117.273;152.288;-69.251;-117.837;-119.017;285.251;-205.032;184.654;240.606;-91.312;-12.845
2440;52.286;-146.552;;216.058;128.503;157.298;-72.182;-114.007;-118.681;295.829;-204.593;189.665;241.382;-94.963;-9.552
2450;54.859;-141.503;;223.214;138.919;160.633;-76.014;-110.137;-119.003;306.559;-203.779;191.797;242.788;-99.599;-4.89
2460;58.59;-137.156;;230.377;150.514;162.768;-79.487;-105.076;-119.488;315.644;-201.81;189.349;244.207;-104.982;-0.214
2470;61.328;-133.899;;237.423;162.61;167.237;-82;-99.007;-120.352;322.942;-197.71;186.908;246.326;-109.102;4.417
2480;62.814;-132.276;;243.485;174.725;170.339;-84.008;-91.559;-120.429;328.812;-192.284;182.066;246.486;-114.574;7.968
2490;63.99;-129.934;;249.499;187.589;173.641;-85.768;-84.034;-120.168;332.742;-185.25;175.07;245.677;-119.535;10.964
2500;64.582;-127.512;;253.979;200.461;175.011;-86.633;-76.593;-118.421;333.995;-176.481;169.39;242.986;-123.386;14.21
2510;64.625;-122.6;;257.77;212.139;176.221;-87.04;-70.433;-116.299;336.563;-166.168;161.386;245.52;-126.622;17.48
2520;64.134;-118.112;;261.567;219.593;175.807;-87.076;-64.258;-113.869;335.594;-156.386;154.447;249.378;-129.309;19.905
2530;59.887;-112.823;;263.956;226.669;175.546;-86.912;-58.777;-110.884;333.583;-146.738;146.606;249.822;-131.821;21.868
2540;54.658;-108.372;;264.005;231.571;176.566;-86.748;-53.949;-108.526;329.818;-137.775;138.868;250.514;-134.379;23.388
2550;48.077;-104.377;;264.152;233.127;179.203;-86.676;-49.57;-106.348;323.047;-128.251;131.168;250.273;-137.081;25.891
2560;42.423;-102.101;;260.879;234.731;181.84;-87.108;-44.796;-104.123;318.345;-117.637;123.768;253.211;-138.171;30.608
2570;35.094;-97.69;;254.539;233.255;183.374;-87.525;-41;-102.433;310.52;-106.804;114.799;256.266;-139.683;34.411
2580;28.341;-93.388;;248.159;230.2;182.607;-88.194;-36.379;-102.604;304.572;-96.276;104.537;258.45;-141.259;38.56
2590;22.592;-88.966;;237.124;227.138;178.406;-88.503;-31.789;-102.679;298.043;-84.023;94.761;256.383;-144.018;42.039
2600;16.33;-87.159;;223.793;223.137;169.301;-88.861;-27.385;-101.95;290.469;-69.935;84.956;254.317;-146.422;45.439
2610;9.039;-84.081;;210.421;218.76;160.196;-88.8;-24.474;-101.505;283.526;-55.971;75.474;249.563;-147.668;49.869
2620;1.643;-81.004;;195.513;214.11;150.279;-88.08;-22.468;-99.97;272.636;-41.192;63.034;244.061;-148.71;54.634
2630;-7.292;-76.721;;179.59;208.605;141.161;-87.553;-19.435;-98.657;260.737;-26.143;51.339;238.51;-149.294;59.531
2640;-16.796;-71.628;;163.647;202.339;132.694;-86.877;-15.883;-96.894;245.472;-10.239;40.192;232.541;-148.806;63.748
2650;-25.914;-66.534;;148.065;195.948;125.207;-85.228;-12.241;-94.512;229.135;6.789;29.131;224.55;-146.692;66.996
2660;-35.022;-61.374;;133.4;188.512;117.88;-83.314;-8.412;-93.782;213.17;24.383;18.19;217.343;-142.497;69.811
2670;-43.124;-57.223;;118.527;181.165;112.219;-79.863;-4.603;-91.659;196.644;42.622;7.905;209.796;-136.866;70.666
2680;-51.128;-53.073;;103.578;172.972;107.799;-77.796;-1.172;-88.418;180.978;60.982;-3.4;200.756;-132.756;71.738
2690;-59.032;-50.48;;91.717;164.916;104.183;-74.914;1.268;-84.43;165.966;78.261;-15.742;191.921;-128.074;72.661
2700;-67.706;-48.243;;81.157;156.239;101.153;-71.545;4.364;-78.495;150.734;95.439;-28.499;180.377;-120.759;71.884
2710;-78.026;-46.006;;70.639;145.861;98.85;-68.161;5.883;-72.458;137.091;112.817;-40.021;169.349;-112.843;72.743
2720;-87.977;-42.114;;58.885;134.113;93.484;-65.532;7.457;-65.633;121.868;129.556;-51.233;156.899;-106.651;72.767
2730;-97.207;-38.046;;45.941;122.054;88.119;-63.092;5.463;-59.526;108.33;145.248;-61.365;144.062;-98.601;73.349
2740;-106.179;-33.977;;33.01;108.037;80.938;-60.694;4.262;-53.414;94.556;160.702;-68.972;130.908;-89.177;75.003
