timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.3;;41: wc-1-.1;42: wc-1-.2;43: wc-1-.3
1550;43.721;55.551;55.636;86.917;39.247;147.176;10.041;-35.723;10.693;-14.291;23.273;;53.273;32.796;17.387
1560;41.082;57.446;55.094;83.704;28.743;144.392;6.57;-39.186;10.406;-14.179;22.947;;49.914;31.229;15.297
1570;36.312;58.994;52.605;81.633;18.523;141.08;1.853;-42.668;10.103;-14.161;22.624;;46.872;30.015;13.283
1580;31.55;59.571;50.066;82.331;7.703;137.599;-1.541;-44.769;9.243;-13.057;22.228;;43.786;27.926;14.755
1590;24.986;60.241;46.501;84.08;0.731;133.904;-5.028;-46.599;9.218;-11.947;21.795;;41.138;25.517;16.953
1600;18.109;61.204;42.428;86.372;-2.354;128.097;-8.152;-47.808;8.928;-9.873;22.286;;37.261;23.508;19.055
1610;11.392;59.186;37.062;81.92;-9.354;116.498;-12.53;-51.021;6.981;-9.105;21.225;;29.43;16.367;13.994
1620;4.523;56.808;32.137;77.908;-14.39;103.219;-15.817;-53.742;4.397;-8.257;20.164;;22.513;9.89;7.614
1630;-2.989;54.062;27.17;76.247;-16.775;87.279;-19.156;-55.993;2.723;-7.408;19.331;;16.356;3.417;2.292
1640;-11.186;50.396;21.243;73.61;-18.556;71.55;-21.316;-57.412;1.843;-6.743;17.658;;13.589;0.546;-2.291
1650;-19.148;47.582;13.876;66.399;-19.357;56.05;-22.916;-59.032;0.786;-6.079;15.185;;12.517;-1.63;-5.606
1660;-26.152;45.168;6.033;59.819;-18.917;42.763;-24.589;-60.43;-0.672;-5.854;12.712;;12.142;-3.739;-7.012
1670;-33.232;44.221;-0.73;54.752;-18.994;31.778;-26.07;-61.452;-2.425;-6.269;10.239;;12.266;-5.283;-8.059
