timepoints (min);46: wc-2,- -2;47: wc-2,- -3
4920;-17.914;-74.865
4930;-21.109;-73.07
4940;-22.494;-71.786
4950;-21.252;-72.582
4960;-20.011;-72.498
4970;-15.939;-72.414
4980;-11.868;-72.109
4990;-8.643;-70.884
5000;-5.855;-68.699
5010;-3.068;-66.514
5020;-2.6;-63.64
5030;-2.029;-61.086
5040;-3.886;-57.811
5050;-5.542;-54.537
5060;-7.199;-51.262
5070;-11.048;-45.403
5080;-14.898;-40.023
5090;-16.548;-34.644
5100;-20.186;-29.265
5110;-24.211;-18.269
5120;-27.916;-10.388
5130;-31.621;-2.506
5140;-31.114;5.375
5150;-32.168;11.808
5160;-33.222;16.957
5170;-32.886;22.106
5180;-32.301;27.255
5190;-30.836;31.846
5200;-32.294;33.116
5210;-33.752;34.414
5220;-34.437;35.712
5230;-33.243;36.775
5240;-31.27;36.919
5250;-29.298;36.182
5260;-27.277;35.652
5270;-23.545;35.343
5280;-19.812;35.354
5290;-16.08;35.366
5300;-12.989;36.577
5310;-9.858;38.208
5320;-6.727;36.4
5330;-3.596;34.592
5340;-3.727;32.743
5350;-2.298;30.73
5360;-0.869;23.996
5370;-0.077;17.262
5380;0.563;10.528
5390;-2.517;4.977
5400;-4.279;0.149
5410;-6.04;-4.679
5420;-7.67;-9.506
5430;-11.741;-14.168
5440;-17.057;-16.59
5450;-22.372;-13.55
5460;-27.392;-10.51
5470;-28.702;-8.043
5480;-31.892;-3.215
5490;-35.083;2.226
5500;-37.57;8.548
5510;-37.897;14.428
5520;-37.063;20.308
5530;-36.23;26.588
5540;-35.349;32.812
5550;-34.388;37.837
5560;-33.466;42.71
5570;-32.979;47.583
5580;-32.761;51.497
5590;-32.503;55.581
5600;-33.681;59.499
5610;-34.859;63.418
5620;-36.203;67.337
5630;-38.146;71.628
5640;-35.99;75.474
5650;-33.834;79.321
5660;-31.679;83.168
5670;-29.463;87.855
5680;-24.808;92.328
5690;-20.153;94.561
5700;-14.953;96.794
5710;-7.513;99.028
5720;-3.513;101.992
5730;0.487;102.072
5740;6.851;102.152
5750;13.215;102.232
5760;17.419;98.73
5770;21.699;95.49
5780;24.539;91.85
5790;27.379;88.21
5800;30.594;84.211
5810;33.996;80.052
5820;32.917;75.894
5830;31.839;72.695
5840;30.596;69.655
5850;29.353;66.615
5860;27.83;62.375
5870;25.908;58.135
5880;24.578;53.84
5890;23.248;49.545
5900;25.233;45.25
5910;27.321;37.034
5920;29.73;29.2
5930;32.138;21.366
5940;38.366;13.531
5950;44.297;7.537
5960;47.988;2.356
5970;51.734;-3.025
5980;55.905;-8.406
5990;57.236;-13.786
6000;58.298;-15.488
6010;59.36;-13.27
6020;59.545;-11.052
6030;61.17;-8.834
6040;62.946;-6.617
6050;65.074;-5.69
6060;65.483;-4.582
6070;70.371;-3.474
6080;75.583;-2.367
6090;81.189;-4.819
6100;84.274;-7.423
6110;87.64;-8.828
6120;90.778;-10.232
6130;93.916;-11.636
6140;94.654;-12.72
6150;92.112;-13.597
6160;89.177;-10.554
6170;86.241;-7.512
6180;84.866;-4.469
6190;80.161;-2.193
6200;75.726;-2.399
6210;71.29;-2.604
6220;67.814;-2.81
6230;63.396;-5.175
6240;58.337;-7.486
6250;53.277;-13.716
6260;48.218;-19.946
6270;43.919;-26.177
6280;39.199;-30.687
6290;34.479;-34.811
6300;29.174;-38.575
6310;25.589;-42.339
6320;22.597;-46.103
6330;19.737;-46.421
6340;15.156;-42.474
6350;13.095;-38.528
6360;11.407;-34.582
6370;7.971;-32.156
6380;4.535;-29.661
6390;3.499;-27.486
6400;2.16;-25.31
6410;-0.259;-23.135
6420;-2.679;-20.96
6430;-6.713;-18.95
6440;-10.861;-16.181
6450;-15.008;-13.411
6460;-19.156;-10.641
6470;-24.195;-7.872
6480;-29.297;-3.225
6490;-34.399;1.422
6500;-39.873;6.069
6510;-45.948;10.716
6520;-52.077;11.868
6530;-58.207;11.299
6540;-63.971;10.731
6550;-67.175;10.163
6560;-69.993;9.594
6570;-72.708;9.061
6580;-72.782;5.487
6590;-70.647;1.913
6600;-68.512;-1.661
6610;-66.308;-5.91
6620;-61.903;-8.909
6630;-57.748;-11.908
6640;-53.468;-14.906
6650;-51.228;-17.905
6660;-47.908;-21.051
6670;-45.36;-24.197
6680;-43.226;-27.343
6690;-43.252;-30.49
6700;-43.279;-33.636
6710;-43.553;-36.989
6720;-43.668;-40.342
6730;-43.822;-43.695
6740;-43.977;-47.048
6750;-43.221;-50.401
6760;-39.545;-53.941
6770;-35.869;-53.84
6780;-32.179;-53.739
6790;-28.537;-53.639
6800;-26.614;-49.501
6810;-24.691;-45.363
6820;-22.81;-41.225
6830;-23.057;-37.087
6840;-23.303;-32.949
6850;-23.709;-28.135
6860;-24.114;-23.321
6870;-25.331;-18.508
6880;-26.548;-13.694
6890;-27.964;-8.88
6900;-28.821;-4.128
6910;-29.974;0.654
6920;-31.154;5.436
6930;-33.095;10.218
6940;-32.756;10.306
6950;-32.851;10.394
6960;-32.781;10.483
6970;-31.55;10.571
6980;-30.32;10.659
6990;-29.448;10.803
7000;-26.737;10.946
7010;-26.345;11.09
7020;-25.953;11.233
7030;-25.241;11.377
7040;-23.89;11.389
7050;-22.538;7.261
7060;-21.269;3.132
7070;-20.234;-0.996
7080;-19.56;-3.857
7090;-18.886;-6.717
7100;-15.486;-9.578
7110;-12.086;-12.439
7120;-8.686;-15.299
7130;-5.92;-17.863
7140;-5.274;-20.428
7150;-3.294;-22.992
7160;-1.334;-25.556
7170;0.026;-28.12
7180;2.146;-30.16
7190;3.97;-27.982
7200;6.166;-25.804
7210;7.961;-23.626
7220;8.175;-20.15
7230;8.41;-16.674
7240;7.924;-13.199
7250;5.599;-9.723
7260;3.087;-6.247
7270;0.472;-2.771
7280;-0.063;0.705
7290;-0.619;4.181
7300;-1.092;7.657
7310;-0.406;11.132
7320;0.681;14.608
7330;1.775;16.058
7340;2.841;17.508
7350;-0.252;18.957
7360;-3.45;17.567
7370;-6.799;15.549
7380;-10.228;13.531
7390;-11.537;11.513
7400;-12.549;9.495
7410;-13.341;7.477
7420;-13.292;5.459
7430;-12.789;3.441
7440;-12.182;1.423
7450;-10.655;-0.594
7460;-8.728;-2.612
7470;-6.684;-6.039
7480;-4.819;-9.465
7490;-1.074;-12.891
7500;2.319;-16.317
7510;5.429;-19.244
7520;8.699;-22.171
7530;9.57;-25.098
7540;10.047;-28.025
7550;10.234;-30.952
7560;8.302;-33.879
7570;6.397;-36.806
7580;4.299;-39.732
7590;1.881;-42.659
7600;1.463;-45.586
7610;1.446;-45.715
7620;1.524;-45.843
7630;3.243;-45.971
7640;4.851;-46.099
7650;6.742;-43.146
7660;9.113;-40.193
7670;11.244;-37.24
7680;13.437;-34.287
7690;15.734;-31.334
7700;13.83;-28.381
7710;11.927;-25.428
7720;10.299;-22.474
7730;12.352;-19.521
7740;13.244;-16.568
7750;13.881;-13.76
7760;14.756;-11.472
7770;15.47;-9.183
7780;16.054;-6.895
7790;16.279;-6.11
7800;14.343;-5.326
7810;13.368;-4.541
7820;12.317;-3.756
7830;11.146;-2.971
7840;10.295;-2.186
7850;9.761;-1.401
7860;9.324;-0.617
7870;9.487;0.168
