timepoints (min);30: frq9-.1;31: frq9-.2;32: frq9-.3;33: frq10-.1;34: frq10-.2;35: frq10-.3;36: wc-1+.1;37: wc-1+.2;38: wc-1+.3;39: wc-2+.1;40: wc-2+.2;;41: wc-1-.1;42: wc-1-.3
2290;132.568;126.212;98.12;-27.891;-18.646;-80.695;0.832;-2.815;25.168;-59.48;-8.568;;144.203;25.011
2300;134.821;124.822;100.996;-29.05;-29.909;-89.572;3.314;-2.692;24.778;-60.899;-0.964;;150.201;25.596
2310;136.876;120.76;105.425;-28.629;-40.112;-97.436;6.044;-1.589;23.434;-62.699;6.532;;155.29;24.247
2320;138.971;114.794;112.407;-25.339;-51.875;-100.847;8.876;-2.84;22.328;-64.499;14.08;;159.537;23.414
2330;141.383;109.332;118.91;-22.685;-63.752;-101.775;12.37;-3.895;19.226;-66.745;21.359;;157.084;24.861
2340;143.908;103.319;121.555;-19.465;-73.833;-101.323;16.497;-4.603;16.486;-69.052;27.047;;152.55;29.583
2350;147.488;97.985;124.199;-17.326;-84.211;-101.294;19.684;-6.532;14.647;-71.36;32.377;;152.604;29.785
2360;149.956;91.571;124.532;-16.488;-91.532;-100.832;23.394;-6.163;9.659;-72.04;39.404;;155.588;29.459
2370;152.041;85.152;126.545;-15.89;-95.872;-100.244;25.277;-4.171;5.523;-72.021;45.432;;161.149;30.337
2380;150.281;79.669;128.56;-15.4;-99.211;-100.257;26.607;-1.83;4.956;-72.001;49.439;;165.946;31.29
2390;152.836;74.123;130.892;-15.026;-101.672;-100.923;27.425;-0.895;11.943;-70.592;54.637;;167.648;26.683
2400;154.79;66.217;133.844;-15.036;-103.466;-101.643;28.494;-0.759;19.069;-67.748;60.568;;166.614;21.583
2410;153.188;58.608;134.381;-14.425;-105.392;-102.19;30.537;-0.346;21.01;-64.903;63.272;;164.495;18.761
2420;145.663;51.508;134.917;-12.967;-106.662;-99.659;32.581;0.662;17.287;-61.367;65.557;;162.152;18.623
2430;136.752;45.426;143.979;-11.633;-107.388;-97.197;33.629;1.43;12.298;-57.808;69.509;;161.152;19.286
2440;128.988;38.785;147.291;-9.71;-107.912;-95.524;34.716;1.731;9.619;-54.25;73.041;;156.712;20.219
2450;121.421;32.79;149.935;-8.381;-109.448;-94.084;35.681;3.31;6.057;-47.481;75.763;;153.356;20.498
2460;112.797;26.851;152.055;-7.037;-111.832;-92.63;36.651;5.021;3.719;-42.234;79.476;;154.484;19.017
2470;103.332;21.394;151.869;-6.881;-114.545;-90.793;37.357;6.819;0.977;-36.486;84.484;;155.034;17.218
2480;93.223;16.858;147.524;-6.552;-116.81;-88.967;38.2;9.163;-0.357;-30.897;88.57;;154.462;15.31
2490;78.098;12.83;143.179;-6.149;-118.186;-85.463;39.593;11.193;-1.767;-24.172;90.237;;154.643;14.232
2500;63.017;9.948;140.443;-6.128;-118.701;-79.299;41.614;13.35;-3.273;-18.447;88.597;;154.621;13.909
2510;51.017;6.738;135.575;-5.462;-118.055;-72.679;44.946;18.419;-4.575;-12.735;86.737;;155.378;14.8
2520;38.869;-0.352;132.639;-5.244;-116.309;-68.036;48.676;23.777;-4.983;-7.589;86.884;;156.607;15.586
2530;26.215;-8.741;129.702;-5.262;-113.903;-64.273;52.643;26.808;-5.372;-0.379;86.139;;156.316;15.999
2540;14.154;-19.887;127.726;-5.45;-111.491;-59.919;56.45;28.679;-6.012;6.83;82.814;;154.203;16.777
2550;3.8;-29.417;121.252;-4.008;-110.029;-54.567;59.906;28.754;-8.132;14.577;79.652;;151.847;18.021
2560;-4.771;-36.506;114.717;-3.425;-109.338;-48.432;63.571;27.353;-10.459;21.032;76.418;;152.716;19.183
2570;-14.361;-42.09;102.201;-4.924;-107.527;-45.51;66.879;27.203;-13.986;27.487;72.192;;153.461;19
2580;-23.306;-51.535;88.24;-6.633;-105.919;-45.159;69.537;26.011;-15.748;36.008;68.393;;156.659;16.406
2590;-30.255;-60.69;77.091;-9.596;-105.495;-46.012;73.233;24.157;-17.059;42.92;66.92;;160.786;13.688
2600;-37.752;-65.004;65.942;-11.858;-104.72;-48.921;78.103;23.85;-20.266;49.832;65.321;;163.412;9.712
2610;-45.51;-66.732;57.292;-12.901;-104.088;-52.903;82.079;21.982;-20.114;53.746;62.607;;161.357;5.839
2620;-56.379;-68.425;49.185;-13.706;-104.16;-54.554;86.19;19.025;-20.012;56.837;61.592;;157.337;2.854
2630;-64.076;-72.057;39.783;-14.486;-103.901;-54.029;91.088;16.334;-23.425;59.928;62.343;;156.161;-1.194
2640;-76.575;-71.888;30.47;-16.033;-102.687;-53.302;95.752;15.519;-32.014;63.168;61.863;;155.214;-4.957
2650;-85.321;-71.779;21.269;-18.084;-100.785;-53.044;98.52;16.331;-39.561;66.983;59.361;;153.812;-7.239
2660;-87.778;-72.204;17.385;-19.437;-99.721;-52.211;100.577;16.659;-41.903;70.799;60.475;;153.858;-7.71
2670;-87.378;-73.926;13.501;-19.232;-98.788;-54.109;104.663;15.666;-42.676;75.073;59.201;;152.721;-7.902
2680;-87.716;-75.687;1.313;-18.968;-99.588;-54.297;108.906;15.359;-42.764;81.152;55.684;;146.523;-7.396
2690;-92.777;-75.617;-4.948;-18.84;-101.145;-51.83;111.971;14.894;-45.066;87.959;52.214;;143.156;-9.124
2700;-100.083;-76.364;-12.502;-19;-103.164;-49.486;113.719;12.742;-45.389;91.566;49.76;;142.388;-11.794
2710;-104.959;-76.534;-20.571;-20.022;-101.4;-47.643;114.117;11.393;-44.97;95.163;46.56;;138.497;-13.967
2720;-110.861;-78.783;-31.927;-20.826;-99.517;-45.323;114.199;10.332;-44.057;96.451;41.172;;135.292;-16.418
2730;-118.059;-78.909;-40.023;-21.139;-97.345;-39.113;114.131;8.371;-42.597;97.739;35.766;;133.974;-17.963
2740;-122.139;-75.891;-48.12;-21.692;-95.292;-35.906;115.098;7.177;-41.113;97.306;31.382;;134.898;-18.684
2750;-125.771;-75.541;-58.168;-21.526;-93.523;-37.812;115.411;6.095;-39.436;95.697;28.873;;134.788;-19.43
